,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir
0,3.0,15.0,10.0,75.0,5.0,18.0,1015.0,4.2,0.0,0.0
1,8.0,20.0,16.0,120.0,20.0,28.0,1005.0,6.5,0.0,0.0
2,3.0,15.0,10.0,120.0,5.0,15.0,1015.0,2.1,0.0,0.0
3,6.0,20.0,18.0,80.0,15.0,25.0,1005.0,4.8,1.0,0.0
4,3.0,15.0,10.0,45.0,5.0,12.0,1015.0,3.5,1.0,0.0
5,8.0,25.0,18.0,85.0,20.0,28.0,1005.0,2.8,4.0,0.0
6,12.0,28.0,15.0,65.0,2.0,6.0,1019.0,6.8,2.0,0.0
7,12.0,28.0,16.0,71.0,2.0,5.0,1020.0,5.4,0.0,0.0
8,3.0,15.0,14.0,85.0,2.0,12.0,1018.0,9.8,0.0,0.0
9,8.0,20.0,16.0,60.0,18.0,28.0,1006.0,7.2,0.0,0.0
10,3.0,15.0,14.0,120.0,2.0,10.0,1018.0,15.2,0.0,1.0
11,9.0,28.0,18.0,180.0,10.0,15.0,1012.0,12.8,1.0,0.0
12,3.0,15.0,10.0,120.0,2.0,10.0,1015.0,18.5,0.0,0.0
13,3.0,15.0,11.0,135.0,2.0,10.0,1014.0,22.1,0.0,0.0
14,3.0,15.0,10.0,120.0,2.0,10.0,1015.0,25.9,0.0,0.0
15,8.0,20.0,18.0,80.0,18.0,25.0,1005.0,40.2,0.0,0.0
16,3.0,15.0,10.0,120.0,2.0,12.0,1015.0,25.8,0.0,0.0
17,9.0,28.0,20.0,90.0,15.0,20.0,1010.0,18.2,0.0,0.0
18,3.0,15.0,10.0,120.0,5.0,12.0,1015.0,30.5,0.0,0.0
19,8.0,25.0,14.0,80.0,18.0,25.0,1005.0,25.8,0.0,0.0
20,1.0,3.0,18.0,140.0,-8.0,-4.0,1029.0,44.0,0.0,0.0
21,1.0,3.0,19.0,150.0,-8.0,-4.0,1028.0,47.5,1.0,0.0
22,3.0,15.0,10.0,98.0,2.0,12.0,1015.0,30.1,5.0,1.0
23,8.0,20.0,18.0,45.0,18.0,28.0,1008.0,25.6,6.0,2.0
24,2.0,15.0,12.0,120.0,2.0,10.0,1015.0,45.6,3.0,1.0
25,3.0,28.0,18.0,80.0,5.0,12.0,1012.0,50.2,2.0,1.0
26,2.0,15.0,10.0,40.0,2.0,5.0,1015.0,55.1,5.0,1.0
27,3.0,20.0,14.0,30.0,5.0,10.0,1010.0,50.3,4.0,1.0
28,2.0,10.0,14.0,45.0,-2.0,1.0,1019.0,69.0,7.0,0.0
29,3.0,20.0,18.0,30.0,5.0,10.0,1015.0,65.0,6.0,0.0
30,2.0,15.0,12.0,75.0,-5.0,2.0,1018.0,75.2,8.0,0.0
31,3.0,20.0,18.0,60.0,0.0,10.0,1012.0,70.5,9.0,0.0
32,2.0,15.0,14.0,45.0,2.0,12.0,1019.0,75.6,10.0,0.0
33,10.0,28.0,16.0,120.0,10.0,18.0,1015.0,69.2,15.0,0.0
34,2.0,15.0,14.0,120.0,-5.0,2.0,1015.0,105.1,18.0,0.0
35,2.0,15.0,15.0,110.0,-5.0,2.0,1014.0,108.2,19.0,0.0
36,2.0,15.0,10.0,120.0,-5.0,-2.0,1015.0,100.2,15.0,0.0
37,2.0,15.0,11.0,110.0,-5.0,-2.0,1014.0,106.5,18.0,0.0
38,2.0,15.0,10.0,80.0,-5.0,2.0,1015.0,100.0,18.0,0.0
39,2.0,15.0,11.0,82.0,-5.0,2.0,1015.0,105.0,19.0,0.0
40,2.0,15.0,10.0,40.0,-5.0,2.0,1015.0,100.2,18.0,0.0
41,2.0,15.0,11.0,50.0,-5.0,2.0,1015.0,105.1,20.0,0.0
42,2.0,15.0,10.0,45.0,2.0,5.0,1015.0,2.5,18.0,0.0
43,2.0,15.0,11.0,38.0,2.0,6.0,1016.0,3.1,20.0,0.0
44,2.0,15.0,10.0,45.0,2.0,5.0,1015.0,2.5,18.0,0.0
45,2.0,15.0,11.0,48.0,1.0,4.0,1016.0,3.1,19.0,0.0
46,2.0,15.0,10.0,45.0,2.0,6.0,1018.0,7.5,0.0,0.0
47,3.0,20.0,18.0,67.0,5.0,10.0,1015.0,9.8,0.0,0.0
48,2.0,14.0,2.0,67.0,-10.0,-8.0,1022.0,18.5,0.0,0.0
49,3.0,20.0,3.0,49.0,-8.0,-5.0,1021.0,19.2,0.0,0.0
50,2.0,15.0,10.0,18.0,-12.0,-5.0,1020.0,25.0,0.0,0.0
51,3.0,20.0,14.0,22.0,-8.0,0.0,1018.0,20.0,0.0,0.0
52,2.0,10.0,10.0,30.0,-15.0,-8.0,1023.0,40.5,0.0,0.0
53,3.0,15.0,14.0,25.0,-12.0,-5.0,1021.0,50.2,0.0,0.0
54,2.0,15.0,12.0,18.0,-10.0,2.0,1015.0,45.6,0.0,0.0
55,3.0,20.0,18.0,25.0,5.0,15.0,1005.0,32.1,0.0,0.0
56,2.0,10.0,14.0,18.0,-15.0,-8.0,1025.0,75.2,0.0,0.0
57,3.0,15.0,16.0,22.0,-10.0,-5.0,1022.0,85.1,0.0,0.0
58,3.0,15.0,14.0,18.0,2.0,18.0,1015.0,90.2,0.0,0.0
59,8.0,20.0,16.0,42.0,20.0,28.0,1005.0,85.1,0.0,0.0
60,3.0,15.0,10.0,18.0,-5.0,5.0,1025.0,90.2,0.0,0.0
61,3.0,15.0,11.0,20.0,-4.0,6.0,1025.0,100.5,0.0,0.0
62,3.0,10.0,12.0,25.0,-15.0,5.0,1025.0,120.5,0.0,0.0
63,3.0,10.0,13.0,26.0,-14.0,6.0,1025.0,130.2,0.0,0.0
64,2.0,10.0,10.0,25.0,-15.0,-5.0,1025.0,140.0,0.0,0.0
65,2.0,10.0,11.0,28.0,-14.0,-4.0,1026.0,145.0,0.0,0.0
66,2.0,15.0,10.0,18.0,-15.0,-8.0,1028.0,140.8,0.0,0.0
67,2.0,15.0,11.0,20.0,-13.0,-9.0,1029.0,147.1,0.0,0.0
68,2.0,15.0,10.0,25.0,-10.0,5.0,1020.0,150.5,0.0,0.0
69,3.0,20.0,14.0,40.0,0.0,15.0,1010.0,200.8,0.0,0.0
70,2.0,14.0,10.0,25.0,-18.0,-8.0,1025.0,185.6,0.0,0.0
71,2.0,14.0,11.0,28.0,-20.0,-10.0,1025.0,188.2,0.0,0.0
72,2.0,10.0,2.0,40.0,-20.0,-15.0,1030.0,210.0,0.0,0.0
73,2.0,10.0,3.0,38.0,-22.0,-16.0,1030.0,208.0,0.0,0.0
74,2.0,10.0,1.0,30.0,-25.0,-15.0,1032.0,201.9,0.0,0.0
75,2.0,10.0,4.0,28.0,-24.0,-16.0,1033.0,206.2,0.0,0.0
76,2.0,10.0,14.0,35.0,-15.0,2.0,1020.0,150.8,0.0,0.0
77,3.0,15.0,10.0,20.0,-10.0,10.0,1015.0,80.2,0.0,0.0
78,3.0,10.0,14.0,18.0,-10.0,12.0,1020.0,4.0,0.0,0.0
79,8.0,20.0,18.0,32.0,16.0,24.0,1015.0,2.0,0.0,0.0
80,2.0,10.0,14.0,32.0,-20.0,-10.0,1030.0,20.5,0.0,0.0
81,3.0,15.0,16.0,25.0,-18.0,-8.0,1025.0,22.1,0.0,0.0
82,2.0,15.0,14.0,40.0,-20.0,-10.0,1030.0,25.1,0.0,0.0
83,2.0,15.0,15.0,35.0,-20.0,-9.0,1030.0,30.8,0.0,0.0
84,2.0,10.0,15.0,35.0,-20.0,-8.0,1028.0,43.2,0.0,0.0
85,3.0,20.0,10.0,42.0,-15.0,-5.0,1018.0,38.5,0.0,0.0
86,2.0,10.0,12.0,28.0,-15.0,-6.0,1025.0,1.2,0.0,0.0
87,2.0,10.0,13.0,35.0,-14.0,-5.0,1024.0,0.8,0.0,0.0
88,2.0,10.0,14.0,45.0,-20.0,-9.0,1028.0,4.2,0.0,0.0
89,2.0,10.0,15.0,51.0,-19.0,-8.0,1028.0,6.1,0.0,0.0
90,2.0,10.0,12.0,45.0,-15.0,-5.0,1025.0,5.5,0.0,0.0
91,3.0,15.0,9.0,50.0,-10.0,0.0,1018.0,8.0,0.0,0.0
92,2.0,10.0,15.0,45.0,-15.0,-8.0,1025.0,10.2,0.0,0.0
93,2.0,10.0,16.0,50.0,-12.0,-6.0,1025.0,11.5,0.0,0.0
94,3.0,15.0,10.0,45.0,10.0,18.0,1015.0,15.3,0.0,0.0
95,8.0,20.0,18.0,38.0,20.0,28.0,1005.0,12.1,0.0,0.0
96,2.0,15.0,2.0,45.0,-20.0,-10.0,1025.0,15.6,0.0,0.0
97,3.0,20.0,3.0,60.0,-18.0,-8.0,1018.0,8.2,0.0,0.0
98,2.0,15.0,10.0,38.0,-15.0,-8.0,1028.0,10.2,0.0,0.0
99,2.0,15.0,11.0,42.0,-15.0,-8.0,1027.0,11.5,0.0,0.0
