,pm2.5,TEMP
0,125.0,-3.0
1,151.0,-5.0
2,163.0,-4.0
3,179.0,-6.0
4,145.0,-4.0
5,115.0,-7.0
6,108.0,-5.5
7,119.0,-4.5
8,125.0,-5.5
9,128.0,-4.0
10,138.0,-4.0
11,155.0,-6.0
12,152.0,-4.0
13,160.0,-4.0
14,151.0,-4.0
15,159.0,-6.0
16,157.0,-4.0
17,161.0,-6.0
18,165.0,-4.0
19,152.0,-6.0
20,158.0,-4.0
21,159.0,-6.0
22,143.0,-5.0
23,139.0,-7.0
24,85.0,-5.0
25,70.0,-5.0
26,67.0,-6.0
27,53.0,-8.0
28,71.0,-6.0
29,90.0,-9.0
30,88.0,-7.0
31,89.0,-10.0
32,84.0,-8.0
33,88.0,-10.0
34,80.0,-8.0
35,95.0,-10.0
36,105.0,-8.0
37,92.0,-8.0
38,94.0,-8.0
39,97.0,-10.0
40,82.0,-8.0
41,75.0,-10.0
42,58.0,-8.0
43,51.0,-10.0
44,69.0,-8.0
45,70.0,-11.0
46,79.0,-8.0
47,70.0,-12.0
48,67.0,-10.0
49,91.0,-15.0
50,24.0,-9.0
51,27.0,-12.0
52,30.0,-10.0
53,25.0,-13.0
54,22.0,-11.0
55,28.0,-14.0
56,25.0,-12.0
57,28.0,-14.0
58,26.0,-11.0
59,24.0,-13.0
60,31.0,-12.0
61,30.0,-9.0
62,27.0,-11.0
63,30.0,-8.0
64,28.0,-10.0
65,32.0,-8.0
66,29.0,-10.0
67,25.0,-13.0
68,29.0,-11.0
69,35.0,-14.0
70,28.0,-12.0
71,30.0,-14.0
72,32.0,-16.0
73,35.0,-19.0
74,26.0,-20.0
75,24.0,-17.0
76,30.0,-18.0
77,29.0,-17.0
78,26.0,-15.0
79,28.0,-17.0
80,26.5,-17.0
81,28.0,-14.0
82,38.0,-15.0
83,32.0,-12.0
84,31.0,-10.0
85,42.0,-9.0
86,38.0,-12.0
87,29.0,-10.0
88,55.0,-10.0
89,58.0,-12.0
90,58.0,-12.0
91,61.0,-10.0
92,91.0,-15.0
93,99.0,-10.0
94,58.0,-14.0
95,62.0,-12.0
96,58.0,-16.0
97,75.0,-15.0
98,48.0,-13.0
99,42.0,-15.0
