,pm2.5,DEWP,TEMP,PRES,Iws
0,135.0,-17.0,-5.0,1019.0,2.1
1,142.0,-14.0,-3.0,1021.0,2.4
2,167.0,-9.0,-4.0,1020.0,4.2
3,173.0,-8.0,-3.0,1021.0,4.8
4,127.0,-8.0,-4.0,1021.0,6.5
5,118.0,-6.0,-7.0,1023.0,6.8
6,118.0,-6.0,-5.0,1023.0,9.5
7,130.0,-8.0,-4.0,1025.0,11.2
8,118.0,-9.0,-7.0,1023.0,11.9
9,129.0,-6.0,-4.0,1026.0,13.7
10,130.0,-6.0,-4.0,1025.0,16.2
11,160.0,-9.0,-6.0,1027.0,22.1
12,151.0,-7.0,-4.0,1027.0,25.1
13,159.0,-9.0,-6.0,1024.0,26.3
14,162.0,-8.0,-4.0,1024.0,33.5
15,151.0,-10.0,-6.0,1026.0,30.2
16,161.0,-8.5,-4.5,1026.5,38.2
17,163.0,-8.0,-4.0,1027.2,40.1
18,165.0,-7.0,-4.0,1026.0,43.1
19,155.0,-9.0,-6.0,1029.0,45.6
20,160.0,-6.0,-4.0,1029.0,47.5
21,158.0,-8.0,-6.0,1026.0,48.8
22,143.0,-7.0,-5.0,1029.0,53.9
23,118.0,-9.0,-7.0,1026.0,54.8
24,85.0,-6.0,-5.0,1028.0,59.2
25,70.0,-9.0,-7.0,1025.0,60.5
26,58.0,-9.0,-8.0,1027.0,67.3
27,62.0,-7.0,-6.0,1024.0,66.1
28,67.0,-7.0,-6.0,1023.0,73.2
29,81.0,-10.0,-9.0,1025.0,75.1
30,89.5,-11.0,-7.0,1025.0,82.1
31,88.2,-9.0,-10.0,1023.0,83.5
32,80.0,-12.0,-10.0,1025.0,91.2
33,85.0,-9.0,-8.0,1022.0,92.5
34,85.0,-10.0,-8.0,1024.0,99.2
35,92.0,-12.0,-10.0,1021.0,101.5
36,95.0,-10.0,-8.0,1021.5,108.2
37,85.0,-12.0,-10.0,1019.5,114.1
38,98.0,-10.0,-8.0,1019.0,119.2
39,94.0,-12.0,-10.0,1021.0,123.1
40,82.0,-12.0,-8.0,1019.0,126.3
41,78.0,-10.0,-8.0,1019.0,129.1
42,58.0,-10.0,-8.0,1020.0,1.2
43,50.0,-12.0,-10.0,1023.0,2.1
44,69.0,-9.0,-8.0,1021.0,3.8
45,73.0,-12.0,-11.0,1024.0,7.5
46,79.0,-10.0,-8.0,1022.0,12.1
47,70.0,-13.0,-12.0,1024.0,13.5
48,67.0,-11.0,-8.0,1022.0,18.5
49,51.0,-15.0,-10.0,1024.0,20.8
50,24.0,-16.0,-9.0,1023.0,28.0
51,27.0,-19.0,-12.0,1025.0,41.0
52,25.0,-18.0,-10.0,1024.0,51.2
53,27.0,-21.0,-13.0,1027.0,53.5
54,18.0,-20.0,-11.0,1026.0,62.1
55,28.0,-22.0,-14.0,1028.0,75.2
56,25.5,-21.5,-12.5,1027.5,82.2
57,28.2,-21.2,-12.2,1030.2,91.5
58,29.0,-21.0,-11.0,1029.0,102.6
59,24.0,-24.0,-13.0,1032.0,110.6
60,31.0,-19.0,-9.0,1029.0,122.1
61,30.0,-22.0,-12.0,1031.0,119.8
62,25.0,-20.0,-11.0,1029.0,140.1
63,30.0,-20.0,-8.0,1031.0,149.2
64,28.0,-22.0,-10.0,1030.0,155.1
65,32.0,-19.0,-12.0,1033.0,161.2
66,29.0,-25.0,-10.0,1031.0,168.5
67,27.0,-20.0,-13.0,1034.0,169.8
68,29.0,-23.0,-11.0,1033.0,178.5
69,35.0,-25.0,-14.0,1035.0,189.2
70,27.0,-22.0,-11.0,1034.0,192.1
71,33.0,-28.0,-17.0,1036.0,201.8
72,32.0,-25.0,-16.0,1034.0,203.2
73,33.0,-27.0,-19.0,1036.0,207.8
74,29.0,-25.0,-20.0,1034.0,210.1
75,26.0,-28.0,-17.0,1036.0,211.9
76,29.0,-26.0,-18.0,1036.0,219.1
77,27.0,-28.0,-17.0,1033.0,5.1
78,25.0,-25.0,-17.0,1036.0,9.0
79,26.0,-28.0,-15.0,1033.0,12.0
80,31.0,-25.0,-14.0,1034.0,22.1
81,28.0,-27.0,-17.0,1036.0,20.5
82,40.0,-28.0,-15.0,1033.0,31.2
83,35.0,-27.0,-12.0,1034.0,32.9
84,31.0,-26.0,-13.0,1033.0,40.5
85,42.0,-23.0,-10.0,1031.0,42.2
86,38.0,-21.0,-10.0,1032.0,1.2
87,29.0,-24.0,-12.0,1030.0,1.5
88,58.0,-25.0,-12.0,1032.0,4.2
89,52.0,-22.0,-10.0,1030.0,5.1
90,61.0,-21.0,-12.0,1031.0,8.5
91,58.0,-24.0,-10.0,1034.0,9.8
92,98.0,-20.0,-15.0,1032.0,14.9
93,92.0,-21.0,-10.0,1034.0,15.1
94,58.0,-21.0,-15.0,1032.0,22.1
95,62.0,-23.0,-12.0,1035.0,21.3
96,61.0,-24.0,-15.0,1032.0,18.2
97,70.0,-26.0,-12.0,1034.0,10.5
98,48.0,-27.0,-15.0,1035.0,9.2
99,42.0,-25.0,-13.0,1032.0,14.5
