,pm2.5,TEMP,real_identifier
0,22.0,-10.0,0
1,118.0,-7.0,0
2,44.0,-8.0,0
3,85.0,-10.0,0
4,151.0,-4.0,0
5,38.0,-12.0,0
6,92.0,-8.0,0
7,19.0,-11.0,0
8,67.0,-7.0,0
9,145.0,-5.0,0
10,56.0,-9.0,0
11,31.0,-13.0,0
12,102.0,-6.0,0
13,41.0,-10.0,0
14,129.0,-6.0,0
15,24.0,-12.0,0
16,82.0,-9.0,0
17,139.0,-5.0,0
18,49.0,-11.0,0
19,76.0,-8.0,0
20,155.0,-4.0,0
21,35.0,-13.0,0
22,94.0,-7.0,0
23,59.0,-10.0,0
24,123.0,-6.0,0
25,46.0,-12.0,0
26,93.0,-10.0,0
27,41.0,-14.0,0
28,118.0,-7.0,0
29,28.0,-12.0,0
30,151.0,-6.0,0
31,68.0,-10.0,0
32,133.0,-5.0,0
33,98.0,-9.0,0
34,59.0,-8.0,0
35,32.0,-11.0,0
36,114.0,-6.0,0
37,127.0,-5.0,0
38,89.0,-9.0,0
39,162.0,-5.0,0
40,27.0,-12.0,0
41,155.0,-5.0,0
42,74.0,-10.0,0
43,34.0,-15.0,0
44,152.0,-6.0,0
45,26.0,-12.0,0
46,30.0,-16.0,0
47,145.0,-5.0,0
48,157.0,-5.0,0
49,31.0,-13.0,0
50,63.0,-9.0,0
0,30.0,-9.0,1
1,28.0,-16.0,1
2,140.0,-5.0,1
3,132.0,-5.0,1
4,66.0,-13.0,1
5,164.0,-5.0,1
6,27.0,-16.0,1
7,154.0,-5.0,1
8,53.0,-9.0,1
9,60.0,-13.0,1
10,71.0,-9.0,1
11,20.0,-12.0,1
12,90.0,-6.0,1
13,30.0,-11.0,1
14,159.0,-5.0,1
15,33.0,-11.0,1
16,29.0,-13.0,1
17,25.0,-10.0,1
18,26.0,-13.0,1
19,126.0,-6.0,1
20,98.0,-9.0,1
21,63.0,-6.0,1
22,27.0,-13.0,1
23,27.0,-12.0,1
24,50.0,-14.0,1
25,86.0,-9.0,1
26,30.0,-17.0,1
27,26.0,-11.0,1
28,84.0,-12.0,1
29,129.0,-4.0,1
30,73.0,-11.0,1
31,138.0,-5.0,1
32,86.0,-9.0,1
33,65.0,-7.0,1
34,29.0,-11.0,1
35,120.0,-6.0,1
36,124.0,-5.0,1
37,96.0,-9.0,1
38,164.0,-5.0,1
39,26.0,-12.0,1
40,159.0,-5.0,1
41,72.0,-10.0,1
42,31.0,-15.0,1
43,156.0,-6.0,1
44,25.0,-12.0,1
45,27.0,-16.0,1
46,148.0,-5.0,1
47,158.0,-5.0,1
48,29.0,-13.0,1
49,61.0,-9.0,1
50,27.0,-19.0,1
