,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,real_identifier
0,1.0,10.0,14.0,118.0,-18.0,-10.0,1025.0,98.7,15.0,0.0,0
1,1.0,8.0,20.0,140.0,-12.0,-8.0,1029.0,60.3,5.0,0.0,0
2,1.0,9.0,11.0,92.0,-15.0,-9.0,1031.0,85.1,11.0,0.0,0
3,1.0,7.0,18.0,128.0,-10.0,-7.0,1026.0,73.2,8.0,0.0,0
4,1.0,6.0,15.0,104.0,-14.0,-9.0,1030.0,92.5,14.0,0.0,0
5,1.0,10.0,8.0,86.0,-19.0,-11.0,1032.0,79.4,10.0,0.0,0
6,1.0,9.0,5.0,122.0,-13.0,-8.0,1028.0,67.1,7.0,0.0,0
7,1.0,8.0,13.0,96.0,-11.0,-7.0,1027.0,81.9,12.0,0.0,0
8,1.0,7.0,10.0,112.0,-9.0,-6.0,1025.0,75.6,9.0,0.0,0
9,1.0,6.0,22.0,132.0,-16.0,-10.0,1031.0,58.5,4.0,0.0,0
10,1.0,10.0,16.0,108.0,-17.0,-10.0,1029.0,91.3,13.0,0.0,0
11,1.0,9.0,4.0,130.0,-14.0,-9.0,1030.0,70.8,8.0,0.0,0
12,1.0,8.0,19.0,120.0,-12.0,-8.0,1030.0,84.2,11.0,0.0,0
13,1.0,7.0,12.0,100.0,-10.0,-7.0,1028.0,78.5,10.0,0.0,0
14,1.0,6.0,9.0,116.0,-15.0,-9.0,1032.0,95.6,14.0,0.0,0
15,1.0,10.0,21.0,126.0,-18.0,-11.0,1033.0,61.9,6.0,0.0,0
16,1.0,9.0,14.0,106.0,-13.0,-8.0,1030.0,89.1,12.0,0.0,0
17,1.0,8.0,11.0,102.0,-11.0,-7.0,1029.0,82.3,11.0,0.0,0
18,1.0,7.0,7.0,124.0,-9.0,-6.0,1027.0,76.2,9.0,0.0,0
19,1.0,6.0,18.0,136.0,-16.0,-10.0,1032.0,59.4,5.0,0.0,0
20,1.0,10.0,13.0,110.0,-17.0,-10.0,1031.0,94.5,13.0,0.0,0
21,1.0,9.0,6.0,128.0,-14.0,-9.0,1031.0,72.1,8.0,0.0,0
22,1.0,8.0,16.0,114.0,-12.0,-8.0,1030.0,86.3,11.0,0.0,0
23,1.0,7.0,9.0,120.0,-10.0,-7.0,1029.0,80.6,10.0,0.0,0
24,1.0,6.0,20.0,140.0,-16.0,-10.0,1033.0,56.8,4.0,0.0,0
25,1.0,10.0,10.0,116.0,-18.0,-11.0,1032.0,96.2,14.0,0.0,0
26,1.0,9.0,7.0,130.0,-13.0,-8.0,1030.0,74.3,9.0,0.0,0
27,1.0,8.0,15.0,108.0,-11.0,-7.0,1029.0,88.5,12.0,0.0,0
