,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,real_identifier
0,1.0,5.0,10.0,120.0,-6.0,-3.0,1025.0,50.2,3.0,0.0,0
1,1.0,8.0,20.0,90.0,-9.0,-6.0,1028.0,40.5,2.0,0.0,0
2,1.0,5.0,18.0,120.0,-5.0,-3.0,1025.0,32.0,10.0,0.0,0
3,1.0,8.0,22.0,90.0,-8.0,-7.0,1020.0,20.0,18.0,0.0,0
4,1.0,5.0,10.0,120.0,-10.0,-7.0,1018.0,85.2,15.0,0.0,0
5,1.0,1.0,20.0,200.0,-6.0,-3.0,1030.0,50.8,10.0,0.0,0
6,3.0,10.0,8.0,45.0,-10.0,2.0,1015.0,4.5,1.0,50.0,0
7,9.0,20.0,18.0,80.0,10.0,15.0,1005.0,3.2,3.0,100.0,0
8,1.0,5.0,18.0,135.0,-6.0,-3.0,1024.0,17.9,0.0,0.0,0
9,1.0,5.0,8.0,141.0,-9.0,-4.0,1022.0,7.2,0.0,0.0,0
10,12.0,28.0,15.0,120.0,-15.0,-8.0,1025.0,50.1,0.0,0.0,0
11,12.0,31.0,6.0,40.0,-20.0,-15.0,1032.0,80.3,0.0,0.0,0
12,2.0,15.0,10.0,120.0,-3.0,2.0,1024.0,42.1,2.0,50.0,0
13,12.0,28.0,22.0,180.0,-10.0,-8.0,1030.0,30.5,1.0,20.0,0
14,2.0,10.0,2.0,60.0,-12.0,-10.0,1028.0,5.5,2.0,0.0,0
15,2.0,15.0,4.0,70.0,-20.0,-12.0,1031.0,7.2,5.0,0.0,0
16,1.0,5.0,10.0,32.0,-20.0,-12.0,1030.0,92.1,1.0,0.0,0
17,1.0,2.0,6.0,79.0,-12.0,-10.0,1026.0,86.5,10.0,0.0,0
18,2.0,15.0,14.0,50.0,-10.0,2.0,1015.0,12.1,0.0,0.5,0
19,3.0,20.0,6.0,120.0,-5.0,10.0,1000.0,25.9,1.0,0.2,0
20,1.0,2.0,18.0,29.0,-22.0,-10.0,1033.0,201.1,0.0,0.0,0
21,1.0,3.0,1.0,31.0,-25.0,-15.0,1034.0,210.9,0.0,0.0,0
22,1.0,3.0,11.0,35.0,-25.0,-12.0,1036.0,15.0,0.0,0.0,0
23,1.0,9.0,5.0,42.0,-27.0,-18.0,1033.0,12.0,0.0,0.0,0
24,2.0,15.0,10.0,85.0,-8.0,2.0,1018.0,7.2,45.0,150.0,0
25,12.0,28.0,18.0,110.0,-5.0,0.0,1025.0,3.5,270.0,50.0,0
26,2.0,15.0,10.0,40.0,-15.0,-5.0,1028.0,80.2,0.0,50.0,0
27,3.0,22.0,20.0,35.0,-10.0,0.0,1025.0,120.5,0.0,20.0,0
28,3.0,10.0,12.0,80.0,-5.0,5.0,1020.0,50.2,1.0,50.0,0
29,12.0,25.0,18.0,120.0,-15.0,-2.0,1030.0,200.5,0.0,20.0,0
30,2.0,10.0,12.0,42.0,-15.0,-5.0,1015.0,156.2,18.0,50.0,0
31,2.0,20.0,20.0,67.0,-8.0,-2.0,1005.0,93.1,25.0,20.0,0
32,2.0,10.0,20.0,45.0,-7.0,-5.0,1015.0,145.2,17.0,0.0,0
33,3.0,15.0,15.0,38.0,-3.0,2.0,1005.0,130.5,10.0,0.0,0
34,2.0,10.0,18.0,85.0,-15.0,-10.0,1029.0,23.1,2.0,10.0,0
35,2.0,8.0,4.0,71.0,-12.0,-8.0,1031.0,49.2,3.0,5.0,0
36,12.0,28.0,10.0,80.0,-2.0,2.0,1015.0,120.8,3.0,50.0,0
37,6.0,15.0,18.0,40.0,18.0,25.0,1005.0,80.2,1.0,200.0,0
38,1.0,5.0,18.0,35.0,-20.0,-11.0,1030.0,180.2,0.0,0.0,0
39,1.0,5.0,2.0,50.0,-18.0,-10.0,1025.0,25.1,0.0,0.0,0
40,2.0,10.0,12.0,50.0,-15.0,-8.0,1020.0,35.1,0.0,20.0,0
41,3.0,20.0,18.0,70.0,-10.0,-5.0,1015.0,25.6,0.0,30.0,0
42,2.0,10.0,15.0,42.0,-18.0,-6.0,1038.0,55.6,8.0,10.0,0
43,3.0,20.0,9.0,75.0,-5.0,2.0,1015.0,88.2,20.0,5.0,0
44,3.0,15.0,18.0,120.0,-2.0,8.0,1018.0,25.3,1.0,50.0,0
45,10.0,28.0,9.0,90.0,5.0,12.0,1020.0,18.5,2.0,30.0,0
46,12.0,15.0,18.0,80.0,-10.0,-3.0,1018.0,12.1,2.0,0.0,0
47,6.0,20.0,9.0,40.0,15.0,22.0,1005.0,25.8,1.0,50.0,0
48,1.0,5.0,15.0,58.0,-12.0,-8.0,1019.0,1.1,22.0,0.0,0
49,1.0,5.0,18.0,69.0,-12.0,-9.0,1022.0,6.5,25.0,0.0,0
50,1.0,2.0,17.0,164.0,-8.0,-5.0,1027.0,39.33,0.0,0.0,1
51,1.0,3.0,2.0,65.0,-8.0,-7.0,1026.0,65.71,6.0,0.0,1
52,1.0,2.0,20.0,154.0,-7.0,-5.0,1028.0,46.04,0.0,0.0,1
53,1.0,3.0,20.0,71.0,-10.0,-9.0,1022.0,4.02,26.0,0.0,1
54,1.0,3.0,13.0,90.0,-11.0,-9.0,1020.0,111.74,19.0,0.0,1
55,1.0,2.0,18.0,170.0,-8.0,-5.0,1027.0,42.46,0.0,0.0,1
56,1.0,2.0,4.0,138.0,-7.0,-5.0,1022.0,6.25,2.0,0.0,1
57,1.0,5.0,15.0,33.0,-23.0,-11.0,1031.0,1.79,0.0,0.0,1
58,1.0,2.0,12.0,148.0,-8.0,-5.0,1026.0,23.69,0.0,0.0,1
59,1.0,2.0,2.0,159.0,-11.0,-5.0,1021.0,3.57,0.0,0.0,1
60,1.0,2.0,19.0,149.0,-8.0,-5.0,1028.0,44.25,0.0,0.0,1
61,1.0,4.0,10.0,27.0,-22.0,-12.0,1030.0,100.56,0.0,0.0,1
62,1.0,2.0,16.0,159.0,-9.0,-5.0,1026.0,37.54,0.0,0.0,1
63,1.0,3.0,0.0,90.0,-7.0,-6.0,1027.0,58.56,4.0,0.0,1
64,1.0,6.0,1.0,77.0,-25.0,-14.0,1033.0,4.02,0.0,0.0,1
65,1.0,3.0,3.0,55.0,-8.0,-7.0,1025.0,68.84,7.0,0.0,1
66,1.0,4.0,9.0,27.0,-22.0,-13.0,1029.0,90.73,0.0,0.0,1
67,1.0,3.0,7.0,86.0,-10.0,-9.0,1024.0,84.92,11.0,0.0,1
68,1.0,2.0,10.0,140.0,-7.0,-5.0,1026.0,17.43,1.0,0.0,1
69,1.0,5.0,0.0,30.0,-26.0,-17.0,1035.0,201.58,0.0,0.0,1
70,1.0,4.0,21.0,33.0,-24.0,-13.0,1034.0,187.27,0.0,0.0,1
71,1.0,5.0,4.0,28.0,-27.0,-19.0,1035.0,218.57,0.0,0.0,1
72,1.0,5.0,8.0,27.0,-26.0,-16.0,1035.0,18.78,0.0,0.0,1
73,1.0,6.0,2.0,50.0,-26.0,-14.0,1034.0,8.04,0.0,0.0,1
74,1.0,2.0,0.0,129.0,-16.0,-4.0,1020.0,1.79,0.0,0.0,1
75,1.0,3.0,23.0,73.0,-12.0,-11.0,1023.0,14.3,0.0,0.0,1
76,1.0,6.0,0.0,56.0,-25.0,-17.0,1033.0,26.83,0.0,0.0,1
77,1.0,4.0,17.0,30.0,-20.0,-11.0,1032.0,159.56,0.0,0.0,1
78,1.0,2.0,15.0,154.0,-9.0,-5.0,1025.0,35.75,0.0,0.0,1
79,1.0,4.0,20.0,31.0,-24.0,-12.0,1034.0,180.12,0.0,0.0,1
80,1.0,3.0,16.0,86.0,-11.0,-9.0,1020.0,124.71,22.0,0.0,1
81,1.0,5.0,1.0,34.0,-26.0,-18.0,1035.0,205.6,0.0,0.0,1
82,1.0,3.0,17.0,70.0,-11.0,-9.0,1020.0,127.84,23.0,0.0,1
83,1.0,4.0,12.0,29.0,-21.0,-11.0,1030.0,117.55,0.0,0.0,1
84,1.0,5.0,21.0,106.0,-24.0,-18.0,1033.0,16.55,0.0,0.0,1
85,1.0,3.0,1.0,63.0,-8.0,-6.0,1026.0,61.69,5.0,0.0,1
86,1.0,2.0,22.0,156.0,-8.0,-6.0,1028.0,52.3,2.0,0.0,1
87,1.0,5.0,3.0,25.0,-27.0,-18.0,1035.0,213.65,0.0,0.0,1
88,1.0,4.0,22.0,29.0,-24.0,-13.0,1035.0,195.32,0.0,0.0,1
89,1.0,4.0,1.0,58.0,-16.0,-9.0,1023.0,21.9,0.0,0.0,1
90,1.0,4.0,4.0,28.0,-19.0,-11.0,1025.0,48.72,0.0,0.0,1
91,1.0,5.0,20.0,84.0,-22.0,-12.0,1033.0,13.42,0.0,0.0,1
92,1.0,5.0,12.0,27.0,-25.0,-12.0,1034.0,39.35,0.0,0.0,1
93,1.0,3.0,11.0,98.0,-11.0,-9.0,1022.0,102.8,16.0,0.0,1
94,1.0,2.0,11.0,152.0,-8.0,-5.0,1026.0,20.56,0.0,0.0,1
95,1.0,4.0,0.0,79.0,-14.0,-12.0,1023.0,16.09,0.0,0.0,1
96,1.0,2.0,6.0,105.0,-7.0,-6.0,1023.0,8.93,4.0,0.0,1
97,1.0,4.0,11.0,25.0,-23.0,-12.0,1031.0,108.61,0.0,0.0,1
98,1.0,3.0,18.0,61.0,-11.0,-9.0,1021.0,0.89,24.0,0.0,1
99,1.0,3.0,21.0,72.0,-11.0,-10.0,1023.0,7.15,27.0,0.0,1
