,pm2.5,TEMP,real_identifier
0,159.2,-5.5,0
1,161.8,-4.8,0
2,120.0,-7.0,0
3,92.0,-8.0,0
4,27.5,-16.5,0
5,30.5,-12.0,0
6,98.5,-8.2,0
7,42.1,-12.5,0
8,145.0,-8.0,0
9,30.0,-10.0,0
10,93.0,-7.0,0
11,141.0,-3.0,0
12,23.5,-11.5,0
13,28.2,-14.2,0
14,28.0,-15.0,0
15,51.0,-12.0,0
16,41.0,-8.0,0
17,118.0,-3.0,0
18,65.0,-8.0,0
19,32.0,-10.0,0
20,92.5,-8.5,0
21,93.8,-8.2,0
22,135.0,-8.0,0
23,41.0,-10.0,0
24,28.0,-11.0,0
25,58.0,-8.0,0
26,29.5,-15.0,0
27,31.0,-13.0,0
28,168.0,-4.0,0
29,152.0,-6.0,0
30,42.0,-15.0,0
31,67.0,-7.0,0
32,85.0,-12.0,0
33,32.0,-17.0,0
34,85.0,-8.5,0
35,84.0,-7.5,0
36,70.5,-8.2,0
37,110.8,-5.5,0
38,43.0,-14.0,0
39,31.0,-15.0,0
40,65.0,-8.0,0
41,40.0,-11.0,0
42,28.0,-12.0,0
43,165.0,-3.0,0
44,48.0,-10.0,0
45,32.0,-11.0,0
46,41.0,-15.0,0
47,67.0,-9.0,0
48,88.0,-8.0,0
49,90.0,-10.0,0
50,156.0,-6.0,1
51,164.0,-5.0,1
52,138.0,-5.0,1
53,86.0,-9.0,1
54,25.0,-18.0,1
55,29.0,-15.0,1
56,109.0,-6.0,1
57,36.0,-14.0,1
58,164.0,-5.0,1
59,20.0,-12.0,1
60,86.0,-9.0,1
61,154.0,-5.0,1
62,25.0,-12.0,1
63,27.0,-13.0,1
64,34.0,-18.0,1
65,58.0,-9.0,1
66,29.0,-11.0,1
67,132.0,-5.0,1
68,70.0,-9.0,1
69,28.0,-11.0,1
70,90.0,-9.0,1
71,95.0,-9.0,1
72,159.0,-5.0,1
73,29.0,-13.0,1
74,30.0,-13.0,1
75,61.0,-9.0,1
76,28.0,-19.0,1
77,30.0,-11.0,1
78,181.0,-5.0,1
79,140.0,-5.0,1
80,26.0,-12.0,1
81,76.0,-9.0,1
82,77.0,-14.0,1
83,27.0,-19.0,1
84,86.0,-9.0,1
85,83.0,-8.0,1
86,65.0,-7.0,1
87,105.0,-6.0,1
88,50.0,-16.0,1
89,27.0,-16.0,1
90,71.0,-9.0,1
91,32.0,-10.0,1
92,31.0,-15.0,1
93,159.0,-5.0,1
94,53.0,-9.0,1
95,27.0,-12.0,1
96,29.0,-13.0,1
97,73.0,-11.0,1
98,96.0,-9.0,1
99,82.0,-9.0,1
