,pm2.5,DEWP,TEMP,PRES,Iws,real_identifier
50,29.0,-21.0,-13.0,1027.0,73.75,1.0
51,140.0,-7.0,-5.0,1026.0,17.43,1.0
52,26.0,-21.0,-12.0,1033.0,171.18,1.0
53,149.0,-8.0,-5.0,1028.0,44.25,1.0
54,86.0,-11.0,-9.0,1020.0,124.71,1.0
55,124.0,-7.0,-5.0,1024.0,10.72,1.0
56,126.0,-8.0,-6.0,1027.0,55.43,1.0
57,33.0,-24.0,-13.0,1034.0,187.27,1.0
58,96.0,-11.0,-9.0,1020.0,116.66,1.0
59,90.0,-11.0,-9.0,1020.0,111.74,1.0
60,59.0,-23.0,-11.0,1032.0,7.16,1.0
61,34.0,-26.0,-18.0,1035.0,205.6,1.0
62,159.0,-11.0,-5.0,1021.0,3.57,1.0
63,29.0,-24.0,-13.0,1035.0,195.32,1.0
64,148.0,-15.0,-4.0,1020.0,2.68,1.0
65,91.0,-10.0,-8.0,1024.0,80.9,1.0
66,33.0,-23.0,-11.0,1031.0,1.79,1.0
67,28.0,-23.0,-11.0,1032.0,165.37,1.0
68,70.0,-11.0,-9.0,1020.0,127.84,1.0
69,27.0,-26.0,-16.0,1035.0,8.05,1.0
70,56.0,-25.0,-17.0,1033.0,26.83,1.0
71,158.0,-9.0,-5.0,1025.0,31.73,1.0
72,25.0,-23.0,-12.0,1031.0,108.61,1.0
73,83.0,-9.0,-8.0,1024.0,76.88,1.0
74,28.0,-21.0,-10.0,1030.0,136.32,1.0
75,148.0,-8.0,-5.0,1026.0,23.69,1.0
76,129.0,-16.0,-4.0,1020.0,1.79,1.0
77,29.0,-21.0,-11.0,1030.0,117.55,1.0
78,65.0,-8.0,-7.0,1026.0,65.71,1.0
79,20.0,-21.0,-12.0,1027.0,64.81,1.0
80,41.0,-22.0,-11.0,1032.0,0.89,1.0
81,26.0,-20.0,-12.0,1026.0,55.87,1.0
82,50.0,-26.0,-14.0,1034.0,8.04,1.0
83,31.0,-24.0,-12.0,1034.0,180.12,1.0
84,27.0,-22.0,-12.0,1030.0,100.56,1.0
85,164.0,-8.0,-5.0,1025.0,27.71,1.0
86,107.0,-11.0,-9.0,1021.0,105.93,1.0
87,50.0,-22.0,-16.0,1033.0,23.7,1.0
88,29.0,-21.0,-9.0,1030.0,145.26,1.0
89,27.0,-27.0,-16.0,1034.0,13.86,1.0
90,132.0,-7.0,-5.0,1025.0,14.3,1.0
91,56.0,-23.0,-11.0,1031.0,5.37,1.0
92,29.0,-26.0,-15.0,1035.0,24.59,1.0
93,109.0,-7.0,-6.0,1022.0,7.14,1.0
94,181.0,-7.0,-5.0,1022.0,5.36,1.0
95,82.0,-10.0,-9.0,1024.0,89.84,1.0
96,39.0,-24.0,-11.0,1032.0,41.14,1.0
97,44.0,-26.0,-14.0,1033.0,13.85,1.0
98,154.0,-7.0,-5.0,1028.0,46.04,1.0
99,27.0,-26.0,-19.0,1035.0,208.73,1.0
