,pm2.5,DEWP,TEMP,PRES,Iws
0,129.0,-16,-4.0,1020.0,1.79
1,148.0,-15,-4.0,1020.0,2.68
2,159.0,-11,-5.0,1021.0,3.57
3,181.0,-7,-5.0,1022.0,5.36
4,138.0,-7,-5.0,1022.0,6.25
5,109.0,-7,-6.0,1022.0,7.14
6,105.0,-7,-6.0,1023.0,8.93
7,124.0,-7,-5.0,1024.0,10.72
8,120.0,-8,-6.0,1024.0,12.51
9,132.0,-7,-5.0,1025.0,14.3
10,140.0,-7,-5.0,1026.0,17.43
11,152.0,-8,-5.0,1026.0,20.56
12,148.0,-8,-5.0,1026.0,23.69
13,164.0,-8,-5.0,1025.0,27.71
14,158.0,-9,-5.0,1025.0,31.73
15,154.0,-9,-5.0,1025.0,35.75
16,159.0,-9,-5.0,1026.0,37.54
17,164.0,-8,-5.0,1027.0,39.33
18,170.0,-8,-5.0,1027.0,42.46
19,149.0,-8,-5.0,1028.0,44.25
20,154.0,-7,-5.0,1028.0,46.04
21,164.0,-7,-5.0,1027.0,49.17
22,156.0,-8,-6.0,1028.0,52.3
23,126.0,-8,-6.0,1027.0,55.43
24,90.0,-7,-6.0,1027.0,58.56
25,63.0,-8,-6.0,1026.0,61.69
26,65.0,-8,-7.0,1026.0,65.71
27,55.0,-8,-7.0,1025.0,68.84
28,65.0,-8,-7.0,1024.0,72.86
29,83.0,-9,-8.0,1024.0,76.88
30,91.0,-10,-8.0,1024.0,80.9
31,86.0,-10,-9.0,1024.0,84.92
32,82.0,-10,-9.0,1024.0,89.84
33,86.0,-11,-9.0,1023.0,93.86
34,78.0,-11,-9.0,1023.0,97.88
35,98.0,-11,-9.0,1022.0,102.8
36,107.0,-11,-9.0,1021.0,105.93
37,90.0,-11,-9.0,1020.0,111.74
38,96.0,-11,-9.0,1020.0,116.66
39,95.0,-11,-9.0,1020.0,121.58
40,86.0,-11,-9.0,1020.0,124.71
41,70.0,-11,-9.0,1020.0,127.84
42,61.0,-11,-9.0,1021.0,0.89
43,53.0,-11,-9.0,1022.0,1.78
44,71.0,-10,-9.0,1022.0,4.02
45,72.0,-11,-10.0,1023.0,7.15
46,76.0,-11,-9.0,1023.0,11.17
47,73.0,-12,-11.0,1023.0,14.3
48,79.0,-14,-12.0,1023.0,16.09
49,58.0,-16,-9.0,1023.0,21.9
50,25.0,-17,-10.0,1024.0,29.95
51,26.0,-18,-11.0,1024.0,39.78
52,28.0,-19,-11.0,1025.0,48.72
53,26.0,-20,-12.0,1026.0,55.87
54,20.0,-21,-12.0,1027.0,64.81
55,29.0,-21,-13.0,1027.0,73.75
56,26.0,-22,-13.0,1028.0,80.9
57,27.0,-22,-13.0,1029.0,90.73
58,27.0,-22,-12.0,1030.0,100.56
59,25.0,-23,-12.0,1031.0,108.61
60,29.0,-21,-11.0,1030.0,117.55
61,32.0,-20,-10.0,1030.0,127.38
62,28.0,-21,-10.0,1030.0,136.32
63,29.0,-21,-9.0,1030.0,145.26
64,30.0,-21,-9.0,1031.0,152.41
65,30.0,-20,-11.0,1032.0,159.56
66,28.0,-23,-11.0,1032.0,165.37
67,26.0,-21,-12.0,1033.0,171.18
68,31.0,-24,-12.0,1034.0,180.12
69,33.0,-24,-13.0,1034.0,187.27
70,29.0,-24,-13.0,1035.0,195.32
71,31.0,-26,-15.0,1035.0,198.45
72,30.0,-26,-17.0,1035.0,201.58
73,34.0,-26,-18.0,1035.0,205.6
74,27.0,-26,-19.0,1035.0,208.73
75,25.0,-27,-18.0,1035.0,213.65
76,28.0,-27,-19.0,1035.0,218.57
77,28.0,-27,-16.0,1034.0,4.92
78,27.0,-26,-16.0,1035.0,8.05
79,27.0,-27,-16.0,1034.0,13.86
80,27.0,-26,-16.0,1035.0,18.78
81,29.0,-26,-15.0,1035.0,24.59
82,36.0,-25,-14.0,1035.0,29.51
83,30.0,-25,-13.0,1035.0,34.43
84,27.0,-25,-12.0,1034.0,39.35
85,39.0,-24,-11.0,1032.0,41.14
86,41.0,-22,-11.0,1032.0,0.89
87,33.0,-23,-11.0,1031.0,1.79
88,50.0,-24,-11.0,1031.0,3.58
89,56.0,-23,-11.0,1031.0,5.37
90,59.0,-23,-11.0,1032.0,7.16
91,60.0,-22,-13.0,1033.0,10.29
92,84.0,-22,-12.0,1033.0,13.42
93,106.0,-24,-18.0,1033.0,16.55
94,66.0,-22,-13.0,1034.0,20.57
95,50.0,-22,-16.0,1033.0,23.7
96,56.0,-25,-17.0,1033.0,26.83
97,77.0,-25,-14.0,1033.0,4.02
98,50.0,-26,-14.0,1034.0,8.04
99,44.0,-26,-14.0,1033.0,13.85
