,pm2.5,TEMP
0,129.0,-4.0
1,148.0,-4.0
2,159.0,-5.0
3,181.0,-5.0
4,138.0,-5.0
5,109.0,-6.0
6,105.0,-6.0
7,124.0,-5.0
8,120.0,-6.0
9,132.0,-5.0
10,140.0,-5.0
11,152.0,-5.0
12,148.0,-5.0
13,164.0,-5.0
14,158.0,-5.0
15,154.0,-5.0
16,159.0,-5.0
17,164.0,-5.0
18,170.0,-5.0
19,149.0,-5.0
20,154.0,-5.0
21,164.0,-5.0
22,156.0,-6.0
23,126.0,-6.0
24,90.0,-6.0
25,63.0,-6.0
26,65.0,-7.0
27,55.0,-7.0
28,65.0,-7.0
29,83.0,-8.0
30,91.0,-8.0
31,86.0,-9.0
32,82.0,-9.0
33,86.0,-9.0
34,78.0,-9.0
35,98.0,-9.0
36,107.0,-9.0
37,90.0,-9.0
38,96.0,-9.0
39,95.0,-9.0
40,86.0,-9.0
41,70.0,-9.0
42,61.0,-9.0
43,53.0,-9.0
44,71.0,-9.0
45,72.0,-10.0
46,76.0,-9.0
47,73.0,-11.0
48,79.0,-12.0
49,58.0,-9.0
50,25.0,-10.0
51,26.0,-11.0
52,28.0,-11.0
53,26.0,-12.0
54,20.0,-12.0
55,29.0,-13.0
56,26.0,-13.0
57,27.0,-13.0
58,27.0,-12.0
59,25.0,-12.0
60,29.0,-11.0
61,32.0,-10.0
62,28.0,-10.0
63,29.0,-9.0
64,30.0,-9.0
65,30.0,-11.0
66,28.0,-11.0
67,26.0,-12.0
68,31.0,-12.0
69,33.0,-13.0
70,29.0,-13.0
71,31.0,-15.0
72,30.0,-17.0
73,34.0,-18.0
74,27.0,-19.0
75,25.0,-18.0
76,28.0,-19.0
77,28.0,-16.0
78,27.0,-16.0
79,27.0,-16.0
80,27.0,-16.0
81,29.0,-15.0
82,36.0,-14.0
83,30.0,-13.0
84,27.0,-12.0
85,39.0,-11.0
86,41.0,-11.0
87,33.0,-11.0
88,50.0,-11.0
89,56.0,-11.0
90,59.0,-11.0
91,60.0,-13.0
92,84.0,-12.0
93,106.0,-18.0
94,66.0,-13.0
95,50.0,-16.0
96,56.0,-17.0
97,77.0,-14.0
98,50.0,-14.0
99,44.0,-14.0
