,pm2.5,TEMP,real_identifier
0,145.0,-6.0,0
1,32.0,-8.0,0
2,58.0,-11.0,0
3,182.0,-3.0,0
4,25.5,-17.2,0
5,26.8,-15.5,0
6,32.5,-12.0,0
7,25.0,-15.0,0
8,157.5,-4.5,0
9,161.2,-4.8,0
10,30.5,-10.2,0
11,120.8,-6.5,0
12,31.0,-9.0,0
13,67.0,-15.0,0
14,30.5,-15.0,0
15,48.0,-8.0,0
16,68.0,-9.0,0
17,51.0,-15.0,0
18,27.0,-8.0,0
19,51.0,-17.0,0
20,28.5,-12.2,0
21,31.2,-10.5,0
22,49.0,-8.0,0
23,40.0,-11.0,0
24,120.0,-3.0,0
25,58.0,-9.0,0
26,67.0,-6.0,0
27,31.0,-10.0,0
28,48.5,-14.2,0
29,51.8,-10.5,0
30,30.5,-10.2,0
31,140.8,-4.5,0
32,28.5,-12.0,0
33,30.2,-10.5,0
34,92.5,-8.5,0
35,97.2,-8.8,0
36,67.0,-11.0,0
37,41.0,-15.0,0
38,92.0,-10.0,0
39,28.0,-18.0,0
40,95.0,-12.0,0
41,42.0,-18.0,0
42,35.0,-12.0,0
43,120.0,-8.0,0
44,152.0,-3.0,0
45,162.0,-6.0,0
46,120.0,-3.0,0
47,32.0,-14.0,0
48,31.5,-10.5,0
49,59.2,-14.8,0
50,129.0,-4.0,1
51,28.0,-10.0,1
52,71.0,-9.0,1
53,170.0,-5.0,1
54,27.0,-16.0,1
55,27.0,-16.0,1
56,30.0,-9.0,1
57,28.0,-19.0,1
58,159.0,-5.0,1
59,164.0,-5.0,1
60,27.0,-13.0,1
61,140.0,-5.0,1
62,25.0,-12.0,1
63,84.0,-12.0,1
64,25.0,-18.0,1
65,56.0,-11.0,1
66,73.0,-11.0,1
67,56.0,-17.0,1
68,33.0,-11.0,1
69,44.0,-14.0,1
70,30.0,-13.0,1
71,29.0,-11.0,1
72,58.0,-9.0,1
73,32.0,-10.0,1
74,164.0,-5.0,1
75,41.0,-11.0,1
76,83.0,-8.0,1
77,26.0,-13.0,1
78,50.0,-16.0,1
79,53.0,-9.0,1
80,26.0,-12.0,1
81,148.0,-5.0,1
82,29.0,-9.0,1
83,29.0,-15.0,1
84,90.0,-9.0,1
85,95.0,-9.0,1
86,76.0,-9.0,1
87,33.0,-13.0,1
88,126.0,-6.0,1
89,36.0,-14.0,1
90,107.0,-9.0,1
91,31.0,-15.0,1
92,27.0,-16.0,1
93,154.0,-5.0,1
94,158.0,-5.0,1
95,148.0,-4.0,1
96,154.0,-5.0,1
97,28.0,-16.0,1
98,27.0,-12.0,1
99,66.0,-13.0,1
