,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,B,LSTAT,target,real_identifier
0,0.3,9.5,0.45,6.3,80.2,4.9,310.0,380.1,6.1,20.5,0
1,1.5,7.9,0.55,5.9,90.5,3.5,300.0,370.9,19.2,14.8,0
2,0.3,5.2,0.5,6.8,45.6,4.2,320.0,410.9,9.5,26.8,0
3,0.2,8.5,0.3,6.1,30.8,4.8,290.0,395.2,8.2,23.5,0
4,0.06,6.3,0.53,6.8,85.2,5.5,305.0,394.5,17.1,29.5,0
5,0.08,3.2,0.42,7.1,70.3,4.2,289.0,398.2,7.5,31.8,0
6,0.15,8.5,0.38,6.5,45.6,4.2,290.0,362.5,7.1,25.6,0
7,0.25,5.2,0.42,6.8,38.9,4.8,310.0,385.0,6.9,26.9,0
8,0.85,7.5,0.48,6.2,85.1,3.8,300.0,390.0,12.9,20.8,0
9,0.12,3.2,0.42,7.5,40.5,3.2,280.0,395.0,4.2,41.2,0
10,0.1,6.2,0.45,6.3,70.5,6.5,260.0,398.0,12.1,18.2,0
11,0.3,8.1,0.55,6.6,85.2,6.1,320.0,395.0,22.5,16.5,0
12,0.06,11.4,0.38,6.5,65.2,4.1,412.0,391.8,7.1,25.6,0
13,0.08,5.1,0.42,6.2,43.9,3.9,272.0,396.5,8.8,23.1,0
14,0.5,5.3,0.45,6.3,65.2,5.1,290.0,402.1,7.5,24.5,0
15,1.3,7.5,0.48,6.1,32.1,4.8,315.0,391.9,6.3,22.8,0
16,0.02,4.1,0.42,6.5,38.7,6.4,235.0,394.5,7.1,29.5,0
17,0.05,3.5,0.48,7.3,45.9,6.6,228.0,398.2,6.2,33.8,0
18,0.3,5.5,0.4,6.1,65.1,3.9,291.0,402.1,10.5,19.5,0
19,0.9,7.3,0.6,5.5,71.2,3.2,299.0,385.0,12.1,17.8,0
20,0.05,2.5,0.45,6.9,42.1,8.1,270.0,398.2,5.5,28.3,0
21,0.07,4.8,0.48,6.7,41.9,8.4,259.0,390.5,6.2,29.5,0
22,1.9,7.5,0.4,5.9,90.2,4.1,300.0,380.0,20.0,15.1,0
23,0.3,8.3,0.6,6.2,70.0,5.2,315.0,390.0,14.5,24.5,0
24,0.5,7.5,0.4,6.2,85.1,5.8,310.0,353.8,15.1,17.2,0
25,0.8,8.3,0.6,5.8,90.2,4.9,304.0,329.1,19.1,12.9,0
26,0.05,4.2,0.48,6.3,65.1,3.5,280.0,398.2,7.5,21.5,0
27,0.15,4.8,0.52,6.2,35.6,7.2,290.0,395.1,6.2,24.1,0
28,0.05,4.8,0.48,6.2,50.1,5.5,290.0,394.5,8.5,22.1,0
29,0.02,3.5,0.52,6.0,60.5,4.8,300.0,398.2,6.2,25.5,0
30,0.542,7.9,0.48,6.3,81.2,4.8,312.0,385.0,11.1,19.1,0
31,0.082,5.8,0.42,5.9,40.1,6.2,330.0,402.0,12.5,18.5,0
32,0.6,2.9,0.45,6.1,20.5,5.9,320.0,380.1,5.1,24.8,0
33,1.4,7.3,0.55,5.9,88.2,4.5,315.0,370.5,20.9,14.2,0
34,0.3,10.5,0.45,6.0,55.2,4.8,350.0,390.1,10.8,20.5,0
35,0.5,9.2,0.48,5.9,54.8,4.2,320.0,400.8,9.2,20.1,0
36,0.05,2.1,0.38,7.0,22.5,8.2,230.0,394.2,5.1,32.1,0
37,0.08,4.9,0.42,6.8,20.9,7.1,238.0,398.5,4.9,28.5,0
38,0.1,1.9,0.6,6.8,42.1,5.9,235.0,381.2,3.2,30.5,0
39,0.9,7.3,0.4,6.2,39.4,4.2,292.0,321.1,10.5,23.1,0
40,0.3,7.5,0.45,6.3,60.0,5.2,280.0,420.1,11.2,18.5,0
41,1.1,9.3,0.48,6.2,80.0,4.5,290.0,380.2,12.5,16.2,0
42,0.18,7.2,0.42,5.9,35.1,5.3,235.0,402.1,11.1,20.5,0
43,0.12,7.1,0.38,6.0,7.3,5.9,231.0,388.5,6.2,23.9,0
44,0.05,2.1,0.38,7.3,61.2,8.5,220.0,390.5,7.8,34.5,0
45,0.01,12.0,0.42,6.6,55.1,4.1,260.0,398.0,8.5,24.1,0
46,0.35,7.1,0.38,5.7,90.2,6.1,235.0,400.1,28.5,15.1,0
47,0.25,7.0,0.42,6.2,88.0,5.5,230.0,395.0,20.2,17.3,0
48,0.06,10.2,0.42,6.8,42.1,4.2,420.0,380.5,9.5,23.1,0
49,0.03,8.5,0.48,7.5,58.3,5.3,280.0,395.2,5.2,30.9,0
0,0.09164,10.81,0.413,6.065,7.8,5.2873,305.0,390.91,5.52,22.8,1
1,1.15172,8.14,0.538,5.701,95.0,3.7872,307.0,358.77,18.35,13.1,1
2,0.11504,2.89,0.445,6.163,69.6,3.4952,276.0,391.83,11.34,21.4,1
3,0.08826,10.81,0.413,6.417,6.6,5.2873,305.0,383.73,6.72,24.2,1
