,CRIM,target,real_identifier
0,0.05,22.8,0
1,0.15,26.3,0
2,0.05,24.1,0
3,0.85,20.3,0
4,0.05,20.8,0
5,0.15,23.1,0
6,0.3,20.9,0
7,0.8,19.7,0
8,0.05,28.3,0
9,0.02,30.9,0
10,0.65,16.2,0
11,0.85,18.1,0
12,0.9,15.1,0
13,0.6,19.5,0
14,0.08,35.5,0
15,0.12,40.1,0
16,0.0,28.7,0
17,0.0,30.1,0
18,0.05,22.1,0
19,0.15,18.5,0
20,0.05,23.5,0
21,0.15,25.8,0
22,0.15,18.5,0
23,0.05,28.2,0
24,0.18,25.1,0
25,0.22,23.9,0
26,0.55,20.5,0
27,0.03,32.2,0
28,0.05,25.1,0
29,1.3,11.4,0
30,0.9,20.5,0
31,0.05,23.2,0
32,0.05,21.1,0
33,0.03,20.8,0
34,0.05,20.3,0
35,0.15,18.9,0
36,0.5,21.5,0
37,1.3,24.2,0
38,1.1,16.1,0
39,1.3,14.8,0
40,0.05,28.1,0
41,0.8,16.2,0
42,0.05,22.8,0
43,0.03,24.2,0
44,0.15,20.5,0
45,0.25,22.1,0
46,0.05,25.5,0
47,0.15,20.2,0
48,0.65,21.5,0
49,0.12,23.8,0
0,0.07896,24.1,1
1,0.04337,20.5,1
2,0.05188,22.5,1
3,0.85204,19.6,1
4,0.05646,21.2,1
5,0.03551,22.9,1
6,0.11504,21.4,1
7,0.62976,20.4,1
8,0.12744,26.6,1
9,0.02729,34.7,1
10,0.67191,16.6,1
11,0.7842,17.5,1
12,0.84054,13.9,1
13,0.7258,18.2,1
14,0.0686,33.2,1
15,0.12083,38.7,1
16,0.03237,33.4,1
17,0.03659,24.8,1
18,0.08387,20.3,1
19,0.01311,35.4,1
20,0.04684,22.6,1
21,0.08826,24.2,1
22,0.17171,16.0,1
23,0.02763,30.8,1
24,0.17505,24.7,1
25,0.15445,23.3,1
26,0.62739,19.9,1
27,0.01951,33.0,1
28,0.0566,23.6,1
29,1.13081,12.7,1
30,1.00245,21.0,1
31,0.05789,22.0,1
32,0.10328,19.6,1
33,0.04981,23.4,1
34,0.08873,19.7,1
35,0.08014,21.0,1
36,0.03932,22.0,1
37,1.05393,23.1,1
38,1.23247,15.2,1
39,1.35472,14.5,1
40,0.1415,25.3,1
41,0.95577,14.8,1
42,0.09512,21.4,1
43,0.02875,25.0,1
44,0.10153,20.0,1
45,0.15876,21.7,1
46,0.04113,28.0,1
47,0.17004,18.9,1
48,0.80271,20.2,1
49,0.00632,24.0,1
50,1.38799,13.2,1
