,CRIM,target,real_identifier
0,0.1,24.5,0
1,0.2,17.4,0
2,0.0,29.8,0
3,0.1,22.1,0
4,0.6,20.6,0
5,0.1,26.8,0
6,0.2,19.2,0
7,0.1,24.9,0
8,0.0,27.3,0
9,0.1,21.9,0
10,0.2,16.1,0
11,0.1,25.5,0
12,0.0,32.1,0
13,0.1,23.2,0
14,0.2,18.5,0
15,0.1,22.4,0
16,0.0,30.4,0
17,0.1,27.9,0
18,0.2,20.1,0
19,0.1,24.1,0
20,0.0,28.2,0
21,0.1,22.6,0
22,0.2,17.8,0
23,0.1,26.2,0
24,0.0,31.9,0
25,0.1,24.8,0
26,0.2,19.5,0
27,0.1,23.5,0
28,0.0,29.5,0
29,0.1,27.1,0
30,0.2,20.3,0
31,0.1,25.9,0
32,0.0,32.5,0
33,0.1,23.8,0
34,0.2,18.2,0
35,0.1,22.8,0
36,0.0,30.8,0
37,0.1,28.5,0
38,0.2,20.5,0
39,0.1,24.4,0
40,0.0,28.9,0
41,0.1,23.1,0
42,0.2,18.0,0
43,0.1,26.5,0
44,0.0,32.2,0
45,0.1,25.1,0
46,0.2,19.8,0
47,0.1,24.0,0
48,0.0,29.2,0
49,0.1,27.4,0
50,0.2,20.8,0
51,0.1,26.0,0
52,0.0,32.8,0
0,0.04379,19.4,1
1,0.12744,26.6,1
2,0.10153,20.0,1
3,1.35472,14.5,1
4,0.02729,34.7,1
5,0.1265,25.0,1
6,0.17171,16.0,1
7,0.17004,18.9,1
8,0.06417,18.9,1
9,0.03932,22.0,1
10,0.09512,21.4,1
11,0.15445,23.3,1
12,1.13081,12.7,1
13,0.02055,24.7,1
14,0.0536,25.0,1
15,0.21977,19.4,1
16,0.22489,15.0,1
17,0.08826,24.2,1
18,0.75026,15.6,1
19,0.62739,19.9,1
20,0.12204,28.4,1
21,0.0566,23.6,1
22,0.62976,20.4,1
23,0.15876,21.7,1
24,0.1415,25.3,1
25,0.08873,19.7,1
26,0.05646,21.2,1
27,0.04462,23.9,1
28,0.08014,21.0,1
29,0.03584,23.5,1
30,0.05059,23.9,1
31,0.21124,16.5,1
32,0.01432,31.6,1
33,0.05302,28.7,1
34,0.02875,25.0,1
35,0.12083,38.7,1
36,0.63796,18.2,1
37,0.0686,33.2,1
38,0.03237,33.4,1
39,0.09378,21.7,1
40,1.38799,13.2,1
41,0.02985,28.7,1
42,1.23247,15.2,1
43,0.10328,19.6,1
44,0.09744,20.0,1
45,0.01311,35.4,1
46,0.03659,24.8,1
47,0.12269,21.2,1
48,0.84054,13.9,1
49,0.0136,18.9,1
50,0.13554,17.4,1
