,CRIM,NOX,RM,DIS,target,real_identifier
0,0.3,0.4,6.3,4.9,22.1,0
1,1.1,0.5,5.9,3.6,16.3,0
2,0.2,0.4,6.5,5.1,24.5,0
3,0.9,0.5,6.2,4.2,19.1,0
4,0.1,0.4,7.0,6.3,30.1,0
5,0.6,0.5,5.7,4.6,20.6,0
6,0.8,0.5,6.4,5.5,23.8,0
7,0.4,0.4,6.1,5.9,25.9,0
8,1.0,0.5,6.0,4.1,17.3,0
9,0.2,0.4,6.6,6.9,27.3,0
10,0.5,0.5,5.8,4.3,20.1,0
11,0.9,0.5,6.3,5.2,22.5,0
12,0.1,0.4,7.2,6.5,32.1,0
13,0.7,0.5,6.1,5.6,24.1,0
14,0.3,0.4,6.4,6.1,26.3,0
15,0.6,0.5,5.9,4.5,20.8,0
16,0.8,0.5,6.2,5.3,23.1,0
17,0.2,0.4,6.7,7.0,28.5,0
18,0.5,0.5,5.6,4.2,19.5,0
19,0.9,0.5,6.0,4.8,18.3,0
20,0.1,0.4,7.1,6.2,31.1,0
21,0.7,0.5,6.3,5.7,24.5,0
22,0.4,0.4,6.2,6.4,26.9,0
23,0.6,0.5,5.8,4.4,20.4,0
24,0.8,0.5,6.1,5.1,22.9,0
25,0.3,0.4,6.1,4.9,20.5,0
26,1.5,0.5,5.8,3.9,14.2,0
27,0.1,0.4,6.5,5.8,25.8,0
28,0.2,0.5,6.3,4.1,21.1,0
29,0.9,0.5,5.9,4.3,19.3,0
30,0.4,0.4,6.0,5.5,22.9,0
31,0.1,0.5,7.2,3.6,30.4,0
32,0.2,0.4,6.4,5.9,24.3,0
33,1.3,0.5,5.7,4.4,13.5,0
34,0.0,0.4,6.7,5.6,26.3,0
35,0.3,0.5,6.2,4.7,20.9,0
36,0.1,0.4,6.8,5.1,27.5,0
37,0.2,0.5,6.5,4.8,22.5,0
38,0.9,0.5,5.8,4.2,19.1,0
39,0.4,0.4,6.1,5.9,23.3,0
40,0.1,0.5,7.3,3.7,31.4,0
41,0.2,0.4,6.6,6.0,25.1,0
42,1.4,0.5,5.6,4.5,13.9,0
43,0.0,0.4,6.9,5.7,27.1,0
44,0.3,0.5,6.3,4.9,21.3,0
45,0.1,0.4,6.9,5.2,28.1,0
46,0.2,0.5,6.7,5.0,23.7,0
47,0.9,0.5,5.9,4.3,19.5,0
48,0.4,0.4,6.2,6.1,24.1,0
49,0.1,0.5,7.4,3.8,32.1,0
50,0.2,0.4,6.8,6.2,25.5,0
51,1.5,0.5,5.7,4.6,14.1,0
50,1.61282,0.538,6.096,3.7598,13.5,1
51,0.11027,0.453,6.456,7.2255,22.2,1
52,0.7258,0.538,5.727,3.7965,18.2,1
53,0.01311,0.403,7.249,8.6966,35.4,1
54,0.95577,0.538,6.047,4.4534,14.8,1
55,0.01432,0.411,6.816,8.3248,31.6,1
56,0.00632,0.538,6.575,4.09,24.0,1
57,1.25179,0.538,5.57,3.7979,13.6,1
58,0.1265,0.453,6.762,7.9809,25.0,1
59,0.10153,0.437,6.279,4.0522,20.0,1
60,0.05059,0.449,6.389,4.7794,23.9,1
61,0.22927,0.448,6.03,5.6894,16.6,1
62,0.08387,0.437,5.874,4.5026,20.3,1
63,0.15445,0.453,6.145,7.8148,23.3,1
64,0.08014,0.499,5.85,3.9342,21.0,1
65,0.80271,0.538,5.456,3.7965,20.2,1
66,0.12816,0.409,5.885,6.498,20.9,1
67,0.04113,0.426,6.727,5.4007,28.0,1
68,0.75026,0.538,5.924,4.3996,15.6,1
69,0.06905,0.458,7.147,6.0622,36.2,1
70,0.0686,0.445,7.416,3.4952,33.2,1
71,1.23247,0.538,6.142,3.9769,15.2,1
72,0.62739,0.538,5.834,4.4986,19.9,1
73,0.7842,0.538,5.99,4.2579,17.5,1
74,0.04337,0.439,6.115,6.8147,20.5,1
75,1.15172,0.538,5.701,3.7872,13.1,1
76,0.04684,0.489,6.417,3.0923,22.6,1
77,0.17505,0.499,5.966,3.8473,24.7,1
78,1.35472,0.538,6.072,4.175,14.5,1
79,0.85204,0.538,5.965,4.0123,19.6,1
80,0.62976,0.538,5.949,4.7075,20.4,1
81,0.18836,0.448,5.786,5.1004,20.0,1
82,0.17142,0.448,5.682,5.1004,19.3,1
83,0.19539,0.413,6.245,5.2873,23.4,1
84,0.10328,0.453,5.927,6.932,19.6,1
85,0.05735,0.449,6.63,4.4377,26.6,1
86,0.05789,0.409,5.878,6.498,22.0,1
87,0.08187,0.445,7.82,3.4952,43.8,1
88,0.12204,0.445,6.625,3.4952,28.4,1
89,0.15876,0.413,5.961,5.2873,21.7,1
90,0.22489,0.524,6.377,6.3467,15.0,1
91,0.0136,0.41,5.888,7.3197,18.9,1
92,0.05302,0.489,7.079,3.4145,28.7,1
93,1.05393,0.538,5.935,4.4986,23.1,1
94,0.05188,0.449,6.015,4.4272,22.5,1
95,0.0536,0.439,6.511,6.8147,25.0,1
96,0.04462,0.426,6.619,5.4007,23.9,1
97,1.13081,0.538,5.713,4.233,12.7,1
98,0.03359,0.428,7.024,5.4011,34.9,1
99,0.15936,0.448,6.211,5.7209,24.7,1
