,median_income,median_house_value,real_identifier
0,2.5,195300.0,0
1,4.1,321800.0,0
2,1.5,85000.0,0
3,1.8,92000.0,0
4,1.8,142000.0,0
5,1.1,132000.0,0
6,2.9,114500.0,0
7,3.1,82100.0,0
8,1.6,105300.0,0
9,1.4,87500.0,0
10,1.9,95000.0,0
11,1.7,75000.0,0
12,1.6,165000.0,0
13,1.8,158000.0,0
14,2.9,194400.0,0
15,2.1,143000.0,0
16,8.1,421000.0,0
17,2.2,143000.0,0
18,3.5,93600.0,0
19,8.2,64300.0,0
20,2.1,141300.0,0
21,2.5,118500.0,0
22,0.85,170000.0,0
23,0.75,145000.0,0
24,8.1,384200.0,0
25,8.5,421800.0,0
26,3.8,193400.0,0
27,2.9,179200.0,0
28,1.1,178000.0,0
29,1.7,180500.0,0
30,1.9,120000.0,0
31,1.1,190000.0,0
32,2.5,194400.0,0
33,4.1,328800.0,0
34,1.3,105300.0,0
35,2.1,106200.0,0
36,2.1,142000.0,0
37,1.9,148000.0,0
38,1.8,72500.0,0
39,2.5,195000.0,0
40,2.1,120000.0,0
41,1.9,95000.0,0
42,2.5,243100.0,0
43,1.2,141300.0,0
44,2.5,118700.0,0
45,2.8,143900.0,0
46,2.8,201300.0,0
47,1.5,115600.0,0
48,1.2,187300.0,0
49,2.5,229400.0,0
0,1.1111,108300.0,1
1,3.2031,281500.0,1
2,1.2171,80300.0,1
3,1.6098,87500.0,1
4,1.7348,137500.0,1
5,0.8668,137500.0,1
6,2.4464,102100.0,1
7,3.3929,75700.0,1
8,1.5045,93800.0,1
9,1.5208,112500.0,1
10,1.7719,82500.0,1
11,1.7969,110400.0,1
12,1.5,162500.0,1
13,1.7135,159800.0,1
14,3.2705,241800.0,1
15,1.775,112500.0,1
16,7.2574,352100.0,1
17,1.6424,108900.0,1
18,6.1183,75000.0,1
19,0.977,118800.0,1
20,1.9167,159200.0,1
21,2.7303,109700.0,1
22,0.76,162500.0,1
23,0.8075,137500.0,1
24,8.3014,358500.0,1
25,8.3252,452600.0,1
26,3.9643,188800.0,1
27,2.5898,176000.0,1
28,0.9241,177500.0,1
29,1.8477,179200.0,1
30,1.8088,118800.0,1
31,0.9506,187500.0,1
32,1.191,76100.0,1
33,3.6591,299200.0,1
34,1.0972,104500.0,1
35,2.4038,107500.0,1
36,2.483,137500.0,1
37,1.2852,150000.0,1
38,1.5057,87500.0,1
39,2.1202,155500.0,1
40,1.375,104900.0,1
41,2.5625,60000.0,1
42,2.0804,226700.0,1
43,0.9802,129200.0,1
44,2.1806,99700.0,1
45,2.6,132600.0,1
46,2.6104,193100.0,1
47,1.2475,104200.0,1
48,0.9218,171900.0,1
49,3.6912,261100.0,1
50,3.0125,184400.0,1
