,median_income,median_house_value,real_identifier
50,6.1183,75000.0,1.0
51,3.8462,342200.0,1.0
52,2.6104,193100.0,1.0
53,2.5625,60000.0,1.0
54,1.4861,97200.0,1.0
55,0.8056,84400.0,1.0
56,1.2434,500001.0,1.0
57,2.8345,183800.0,1.0
58,3.075,213500.0,1.0
59,2.0096,130000.0,1.0
60,1.2852,150000.0,1.0
61,1.2171,80300.0,1.0
62,2.6736,191300.0,1.0
63,0.75,162500.0,1.0
64,1.2475,104200.0,1.0
65,0.8172,85300.0,1.0
66,2.125,140000.0,1.0
67,1.725,113900.0,1.0
68,2.0804,226700.0,1.0
69,1.7969,110400.0,1.0
70,1.75,75000.0,1.0
71,2.7303,109700.0,1.0
72,1.1667,112500.0,1.0
73,1.775,112500.0,1.0
74,1.191,76100.0,1.0
75,1.5208,112500.0,1.0
76,5.6431,341300.0,1.0
77,3.6591,299200.0,1.0
78,1.5045,93800.0,1.0
79,2.775,152500.0,1.0
80,1.9911,158700.0,1.0
81,1.1667,78400.0,1.0
82,0.9506,187500.0,1.0
83,2.4597,93800.0,1.0
84,2.4083,98200.0,1.0
85,3.2031,281500.0,1.0
86,3.2705,241800.0,1.0
87,4.0368,269700.0,1.0
88,1.7135,159800.0,1.0
89,3.12,241400.0,1.0
90,8.3014,358500.0,1.0
91,2.1806,99700.0,1.0
92,2.6033,162900.0,1.0
93,2.0114,131300.0,1.0
94,2.5938,73500.0,1.0
95,0.8668,137500.0,1.0
96,0.8075,137500.0,1.0
97,1.7719,82500.0,1.0
98,2.026,142500.0,1.0
99,0.977,118800.0,1.0
