,latitude,housing_median_age,total_rooms,median_income,median_house_value,real_identifier
0,37.8,50.0,1919.0,2.4,165000.0,0
1,37.8,52.0,1049.0,2.2,139400.0,0
2,37.8,35.0,5669.0,1.9,125000.0,0
3,37.8,48.0,1934.0,2.5,113000.0,0
4,37.8,52.0,2251.0,3.2,182300.0,0
5,37.8,49.0,1422.0,1.7,153000.0,0
6,37.8,52.0,1868.0,2.8,128000.0,0
7,37.8,36.0,3599.0,2.1,130000.0,0
8,37.8,52.0,1174.0,3.6,191000.0,0
9,37.8,51.0,2229.0,2.3,160000.0,0
10,37.8,29.0,949.0,1.9,120000.0,0
11,37.8,52.0,1469.0,2.9,145000.0,0
12,37.8,48.0,1921.0,2.4,115000.0,0
13,37.8,52.0,2267.0,3.1,180000.0,0
14,37.8,35.0,5749.0,2.0,128000.0,0
15,37.8,52.0,1884.0,2.6,130000.0,0
16,37.8,49.0,1419.0,1.8,152000.0,0
17,37.8,52.0,1873.0,2.9,129000.0,0
18,37.8,36.0,3622.0,2.1,132000.0,0
19,37.8,52.0,1181.0,3.5,190000.0,0
20,37.8,51.0,2234.0,2.3,162000.0,0
21,37.8,29.0,959.0,1.9,122000.0,0
22,37.8,52.0,1474.0,2.8,146000.0,0
23,37.8,48.0,1926.0,2.4,116000.0,0
24,37.8,52.0,2272.0,3.1,181000.0,0
25,37.8,38.0,1422.0,1.9,143300.0,0
26,37.8,45.0,2134.0,2.1,181400.0,0
27,37.8,51.0,1231.0,1.5,120900.0,0
28,37.8,30.0,823.0,2.5,149200.0,0
29,37.8,48.0,2756.0,2.2,193500.0,0
30,37.8,42.0,1987.0,1.8,128300.0,0
31,37.8,53.0,3451.0,2.9,221400.0,0
32,37.8,36.0,654.0,1.2,103800.0,0
33,37.8,50.0,1873.0,2.3,172200.0,0
34,37.8,44.0,2489.0,2.5,201100.0,0
35,37.8,47.0,1321.0,1.6,124200.0,0
36,37.8,39.0,958.0,2.0,140300.0,0
37,37.8,52.0,2991.0,2.8,215400.0,0
38,37.8,35.0,710.0,1.4,105400.0,0
39,37.8,49.0,2262.0,2.4,187900.0,0
40,37.8,41.0,1465.0,1.9,134200.0,0
41,37.8,46.0,1918.0,2.2,164400.0,0
42,37.8,54.0,3682.0,3.1,238400.0,0
43,37.8,33.0,891.0,1.7,123400.0,0
44,37.8,51.0,2615.0,2.6,204100.0,0
45,37.8,38.0,1143.0,1.8,130400.0,0
46,37.8,43.0,1732.0,2.0,151200.0,0
47,37.8,48.0,2411.0,2.3,184400.0,0
48,37.8,53.0,3134.0,2.9,227400.0,0
49,37.8,40.0,1281.0,1.9,141400.0,0
50,37.83,51.0,936.0,1.2852,150000.0,1
51,37.8,52.0,1027.0,2.6094,81300.0,1
52,37.81,17.0,924.0,1.5,162500.0,1
53,37.82,43.0,1007.0,1.7348,137500.0,1
54,37.8,36.0,5329.0,2.0096,130000.0,1
55,37.82,22.0,3682.0,1.2185,170000.0,1
56,37.85,52.0,1228.0,2.1202,155500.0,1
57,37.84,50.0,2239.0,1.9911,158700.0,1
58,37.83,52.0,1443.0,3.0125,184400.0,1
59,37.82,49.0,135.0,6.1183,75000.0,1
60,37.83,52.0,1121.0,3.3929,75700.0,1
61,37.84,48.0,1922.0,1.7969,110400.0,1
62,37.84,52.0,2224.0,2.6,132600.0,1
63,37.81,52.0,386.0,0.8075,137500.0,1
64,37.81,29.0,335.0,2.0062,125000.0,1
65,37.81,35.0,948.0,1.8088,118800.0,1
66,37.81,48.0,828.0,2.5938,73500.0,1
67,37.85,52.0,1898.0,1.808,105500.0,1
68,37.85,52.0,1467.0,7.2574,352100.0,1
69,37.82,52.0,1170.0,1.6098,87500.0,1
70,37.85,52.0,1627.0,3.8462,342200.0,1
71,37.81,48.0,1455.0,0.8056,84400.0,1
72,37.86,21.0,7099.0,8.3014,358500.0,1
73,37.81,52.0,1224.0,1.191,76100.0,1
74,37.83,52.0,1470.0,3.48,191400.0,1
75,37.8,16.0,994.0,2.0938,162500.0,1
76,37.83,49.0,1655.0,1.375,104900.0,1
77,37.83,52.0,1511.0,1.4103,103900.0,1
78,37.85,40.0,751.0,1.3578,147500.0,1
79,37.82,2.0,158.0,2.5625,60000.0,1
80,37.84,50.0,2082.0,1.6424,108900.0,1
81,37.84,49.0,713.0,1.025,118800.0,1
82,37.85,41.0,535.0,2.4038,107500.0,1
83,37.81,46.0,12.0,0.4999,67500.0,1
84,37.81,36.0,2914.0,2.4464,102100.0,1
85,37.82,52.0,1387.0,1.2171,80300.0,1
86,37.81,19.0,1207.0,1.1111,108300.0,1
87,37.85,52.0,3503.0,3.2705,241800.0,1
88,37.81,40.0,880.0,0.977,118800.0,1
89,37.82,31.0,4596.0,2.8345,183800.0,1
90,37.8,52.0,96.0,0.75,162500.0,1
91,37.84,52.0,729.0,1.6875,132000.0,1
92,37.84,52.0,2153.0,1.9615,115200.0,1
93,37.82,52.0,1630.0,1.2475,104200.0,1
94,37.81,52.0,773.0,2.4083,98200.0,1
95,37.84,52.0,950.0,3.9643,188800.0,1
96,37.8,39.0,1715.0,1.8477,179200.0,1
97,37.82,40.0,946.0,1.775,112500.0,1
98,37.85,52.0,2643.0,1.9167,159200.0,1
99,37.84,52.0,696.0,2.6736,191300.0,1
