,SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default payment next month,real_identifier
0,2.0,5.0,2.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,1.0
1,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0
2,1.0,3.0,2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,1.0
3,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
4,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0
6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
8,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
9,2.0,2.0,1.0,2.0,2.0,-1.0,-1.0,-2.0,-2.0,1.0,1.0
10,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
13,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
14,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
15,1.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0
16,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,2.0,1.0,2.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,0.0,1.0
18,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
19,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,2.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,1.0
22,2.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,1.0
23,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,2.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
25,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,2.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,0.0,1.0
27,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
28,2.0,1.0,1.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,1.0,1.0
29,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0
31,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0
32,2.0,1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0
33,2.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
34,2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
35,1.0,1.0,1.0,-2.0,-2.0,-2.0,-1.0,2.0,2.0,1.0,1.0
36,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,1.0,2.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
41,2.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
42,1.0,1.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
43,2.0,3.0,2.0,1.0,-2.0,-2.0,-1.0,2.0,-1.0,0.0,1.0
44,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0
45,2.0,2.0,1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,0.0,1.0
46,1.0,1.0,2.0,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,1.0,1.0
47,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
49,2.0,1.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
50,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
