,SEX,EDUCATION,MARRIAGE,PAY_0,default payment next month,real_identifier
0,2,1,2,0,0,0
1,1,2,1,-1,0,0
2,2,2,2,2,1,0
3,1,1,2,0,0,0
4,2,3,1,-2,0,0
5,1,2,2,0,0,0
6,2,1,1,0,0,0
7,1,1,2,-1,0,0
8,2,2,2,0,0,0
9,1,3,1,0,0,0
10,2,1,2,2,1,0
11,1,2,1,-2,0,0
12,2,2,2,0,0,0
13,1,1,2,0,0,0
14,2,3,1,-1,0,0
15,1,2,2,0,0,0
16,2,1,1,0,0,0
17,1,1,2,-1,0,0
18,2,2,2,2,1,0
19,1,3,1,0,0,0
20,2,1,2,0,0,0
21,1,2,1,-2,0,0
22,2,2,2,0,0,0
23,1,1,2,0,0,0
24,2,3,1,-1,0,0
25,2,3,1,0,0,0
26,1,1,2,-1,1,0
27,2,2,2,1,0,0
28,1,3,2,0,0,0
29,2,1,1,2,1,0
30,1,1,2,0,0,0
31,2,3,2,-2,0,0
32,2,2,1,0,0,0
33,1,3,2,1,1,0
34,2,1,2,0,0,0
35,2,2,2,-1,0,0
36,1,1,2,2,1,0
37,2,3,1,0,0,0
38,2,1,1,1,0,0
39,1,2,2,0,0,0
40,2,3,2,0,0,0
41,2,2,1,-2,0,0
42,1,3,2,0,0,0
43,2,1,2,1,0,0
44,2,2,2,0,0,0
45,1,1,2,-1,1,0
46,2,3,3,1,0,0
47,2,1,2,2,0,0
48,1,2,1,0,0,0
49,2,3,2,0,0,0
0,2,1,2,2,0,1
1,2,1,2,0,0,1
2,1,2,2,0,0,1
3,2,2,1,-2,0,1
4,1,1,1,-2,0,1
5,2,2,1,0,0,1
6,1,2,2,2,1,1
7,1,1,2,-1,0,1
8,2,1,2,-2,0,1
9,2,3,1,-1,0,1
10,2,2,2,2,1,1
11,1,1,2,0,0,1
12,1,1,2,0,1,1
13,1,3,2,-1,0,1
14,1,1,2,0,0,1
15,2,1,1,-1,1,1
16,2,5,2,0,1,1
17,2,2,1,0,0,1
18,1,1,2,0,0,1
19,2,1,1,-2,0,1
20,1,1,2,1,1,1
21,2,1,2,0,0,1
22,2,2,1,0,1,1
23,2,3,1,0,0,1
24,2,2,2,0,0,1
25,2,3,2,0,0,1
26,2,3,3,0,0,1
27,2,2,2,0,0,1
28,1,1,2,-2,1,1
29,1,3,2,1,1,1
30,1,1,2,0,0,1
31,1,1,2,0,0,1
32,1,3,2,-2,0,1
33,2,3,1,0,0,1
34,2,2,1,2,1,1
35,1,3,2,0,0,1
36,2,3,2,0,0,1
37,2,1,1,1,0,1
38,2,2,1,-2,0,1
39,2,1,2,-1,0,1
40,2,2,2,0,0,1
41,2,1,2,1,0,1
42,2,2,2,0,0,1
43,1,1,2,2,1,1
44,2,1,2,0,1,1
45,2,1,2,-1,0,1
46,2,1,1,-2,1,1
47,1,2,1,0,0,1
48,2,3,3,1,0,1
49,2,1,2,2,0,1
50,2,2,2,0,0,1
