,SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default payment next month,real_identifier
0,1,3,2,1,1,0,0,0,-1,0,0
1,2,4,1,-2,-2,-1,-1,-1,0,0,0
2,2,3,1,1,1,0,0,-1,-1,0,0
3,1,2,3,-2,-2,-1,-1,0,0,0,0
4,1,4,3,1,1,2,2,3,3,0,0
5,2,1,1,-1,-1,0,0,1,1,0,0
6,2,3,1,1,1,0,0,-1,0,0,0
7,1,2,3,-1,-1,2,2,0,1,1,0
8,2,3,1,1,1,2,2,3,3,1,0
9,1,4,3,0,-2,-1,1,1,2,0,0
10,2,5,1,1,1,1,2,2,1,0,0
11,1,4,3,3,3,2,1,1,3,0,0
12,1,4,2,1,1,1,0,0,0,0,0
13,2,1,3,-1,-1,-1,-2,-2,1,1,0
14,1,2,1,0,0,0,0,0,0,0,0
15,1,4,1,0,0,0,0,0,-1,0,0
16,1,4,3,2,2,1,1,0,0,0,0
17,2,2,2,-2,-2,0,0,-1,-1,0,0
18,1,3,1,1,1,1,1,1,1,0,0
19,2,4,3,-2,-2,-2,-2,-2,-2,1,0
20,2,4,1,0,1,1,2,2,3,0,0
21,1,3,3,-1,-1,0,1,1,2,1,0
22,1,3,1,1,1,1,1,1,1,0,0
23,2,5,3,-1,-1,-1,-1,-1,-1,1,0
24,1,3,1,-1,-1,-2,-2,-1,-2,1,0
25,2,2,3,0,0,1,-1,-2,-1,0,0
26,2,3,1,1,1,2,0,0,0,0,0
27,1,4,3,0,-1,-1,1,2,0,0,0
28,1,3,1,1,1,2,2,3,3,1,0
29,2,4,3,-2,-2,0,-1,-1,0,0,0
30,2,3,3,2,2,2,2,2,2,0,0
31,1,4,2,-1,-1,-1,-1,-1,-1,0,0
32,2,3,1,1,1,2,2,3,3,0,0
33,1,4,3,-1,-1,-1,0,0,1,1,0
34,2,3,2,1,1,0,1,0,0,0,0
35,1,4,3,-1,0,-1,0,1,1,1,0
36,1,3,1,2,1,1,2,3,2,0,0
37,2,4,3,-1,0,0,1,2,1,1,0
38,1,3,2,1,1,0,0,-1,-1,0,0
39,2,1,3,-2,-2,-2,2,2,2,1,0
40,1,2,1,2,1,1,2,0,0,0,0
41,2,4,2,0,0,0,1,1,0,0,0
42,2,1,1,1,1,1,0,0,0,0,0
43,1,4,3,0,0,3,2,0,0,0,0
44,1,3,1,1,1,2,2,3,1,0,0
45,2,4,3,0,0,1,1,1,0,0,0
46,2,3,1,1,1,2,2,1,0,0,0
47,1,2,3,0,0,1,1,0,1,0,0
48,1,5,1,1,1,3,0,0,0,0,0
49,2,4,3,0,0,1,2,-1,0,1,0
50,2,2,1,-1,-1,-1,-1,-1,-2,0,1
51,2,1,2,0,0,0,0,0,-1,0,1
52,1,1,2,-1,-1,-2,-2,-2,-1,0,1
53,1,1,1,0,0,0,-1,-1,-1,0,1
54,2,2,1,-2,-2,-2,-2,-2,-2,0,1
55,1,2,2,0,0,0,0,0,0,0,1
56,1,1,2,0,0,0,-1,0,0,0,1
57,1,1,1,-2,-2,-2,-1,2,2,1,1
58,1,1,2,-1,-1,-1,-1,-1,-1,0,1
59,1,2,2,2,0,0,0,0,0,1,1
60,1,3,2,2,2,0,0,0,2,0,1
61,1,1,2,0,0,0,0,0,0,0,1
62,2,3,1,0,0,0,-1,-1,-1,0,1
63,2,2,1,0,0,0,0,0,0,0,1
64,2,3,2,0,0,0,0,0,0,0,1
65,2,3,2,0,0,0,0,0,-1,0,1
66,1,1,2,0,0,0,0,0,0,0,1
67,2,3,1,-1,-1,-1,-1,-1,-1,0,1
68,2,2,1,-1,-1,-1,-1,-1,-1,1,1
69,1,1,2,0,0,0,0,0,0,0,1
70,1,5,2,2,0,0,0,0,0,0,1
71,2,1,2,1,-2,-1,-1,-1,-1,0,1
72,2,2,1,0,0,0,0,0,0,0,1
73,2,2,2,1,-2,-2,-2,-2,-2,1,1
74,2,1,1,-2,-2,-2,-2,-2,-2,1,1
75,1,1,2,1,-1,-1,-2,-2,-2,1,1
76,1,1,2,-1,-1,-1,-1,-1,-1,0,1
77,2,1,2,0,0,0,2,0,0,0,1
78,2,2,2,0,0,0,0,0,0,1,1
79,2,1,2,-1,-1,-1,0,0,-2,0,1
80,1,2,2,0,0,0,0,0,0,0,1
81,2,1,1,1,-2,-2,-2,-2,-2,0,1
82,1,1,2,-2,-2,-2,-2,-2,-2,1,1
83,1,1,2,0,0,0,0,0,0,0,1
84,1,2,1,-1,0,-1,0,0,0,0,1
85,1,1,1,-2,-2,-2,-2,-2,-2,0,1
86,2,2,2,0,-1,-1,0,0,-1,0,1
87,2,1,2,1,-2,-2,-2,-2,-2,0,1
88,1,1,1,-1,-1,-1,-1,-1,0,0,1
89,2,2,1,0,0,0,-2,-2,-2,1,1
90,2,1,2,1,2,0,0,0,0,0,1
91,2,3,3,0,0,0,0,0,0,0,1
92,1,3,2,0,0,0,0,0,0,0,1
93,1,2,2,0,0,2,0,0,0,0,1
94,2,2,1,-1,-1,-1,-1,2,-1,0,1
95,2,2,2,0,0,0,0,0,0,0,1
96,1,1,2,0,0,0,0,0,0,0,1
97,1,1,2,0,0,0,0,0,0,0,1
98,2,3,3,0,0,0,0,0,0,0,1
99,2,1,2,0,0,2,-1,0,0,1,1
