,PAY_0,default payment next month,real_identifier
0,-2,0,0
1,1,0,0
2,2,0,0
3,1,1,0
4,1,0,0
5,-1,1,0
6,1,0,0
7,-1,1,0
8,1,0,0
9,-1,0,0
10,1,0,0
11,3,1,0
12,2,0,0
13,-2,0,0
14,1,0,0
15,-1,1,0
50,-1,0,1
51,-1,0,1
52,1,1,1
53,0,0,1
54,1,0,1
55,0,1,1
56,0,0,1
57,-1,0,1
58,2,1,1
59,-1,0,1
60,0,0,1
61,-2,0,1
62,0,0,1
63,0,1,1
64,0,1,1
65,-1,0,1
66,0,1,1
67,0,0,1
68,2,1,1
69,0,0,1
70,2,0,1
71,0,1,1
72,-2,0,1
73,-1,0,1
74,0,0,1
75,0,0,1
76,-1,0,1
77,-2,0,1
78,-2,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,1,0,1
85,-1,0,1
86,0,0,1
87,2,1,1
88,-1,0,1
89,1,1,1
90,0,0,1
91,-1,0,1
92,0,0,1
93,1,1,1
94,-1,0,1
95,-2,1,1
96,-1,0,1
97,0,0,1
98,2,1,1
99,0,0,1
