,SEX,EDUCATION,MARRIAGE,PAY_0,default payment next month,real_identifier
0,1,2,1,-1,0,0
1,2,4,3,2,1,0
2,1,3,2,1,0,0
3,2,4,1,-2,0,0
4,2,3,1,1,0,0
5,1,4,3,2,0,0
6,2,1,1,1,0,0
7,1,3,2,-2,0,0
8,1,3,1,1,0,0
9,2,4,3,0,0,0
10,1,4,1,1,0,0
11,2,1,3,-1,0,0
12,1,4,2,2,0,0
13,2,1,3,-1,0,0
14,1,3,1,2,0,0
15,2,4,3,-1,1,0
16,1,4,1,2,0,0
17,2,1,3,1,0,0
18,1,5,1,2,0,0
19,2,4,3,-2,0,0
20,2,4,1,1,0,0
21,1,3,2,3,1,0
22,1,2,2,2,0,0
23,2,3,1,0,0,0
24,1,2,1,1,0,0
25,2,3,3,0,0,0
26,2,4,1,2,0,0
27,1,3,3,1,0,0
28,1,2,2,0,0,0
29,2,3,1,1,0,0
30,1,3,2,2,0,0
31,2,4,3,-2,1,0
32,2,4,1,3,0,0
33,1,2,3,0,1,0
34,1,5,1,2,0,0
35,2,4,3,-2,0,0
36,2,4,1,1,0,0
37,1,3,3,3,1,0
38,2,4,3,2,0,0
39,1,3,2,-1,1,0
40,1,2,1,1,0,0
41,2,3,2,2,0,0
42,1,3,1,0,0,0
43,2,4,3,3,1,0
44,1,4,1,2,0,0
45,2,2,3,1,0,0
46,1,4,2,2,0,0
47,2,1,3,-2,1,0
48,1,2,1,2,0,0
49,2,4,3,0,0,0
50,1,1,2,0,0,1
51,2,3,1,0,1,1
52,2,1,1,-1,0,1
53,2,2,1,0,0,1
54,1,1,1,-1,0,1
55,1,1,2,0,0,1
56,2,2,1,-1,0,1
57,1,2,2,0,0,1
58,2,2,2,-1,0,1
59,2,1,2,-1,0,1
60,2,2,1,-2,0,1
61,2,3,2,0,0,1
62,2,3,1,0,0,1
63,2,2,1,0,0,1
64,2,2,1,0,0,1
65,2,1,2,0,0,1
66,2,2,2,0,0,1
67,2,3,2,0,0,1
68,2,3,3,0,0,1
69,2,1,2,-1,0,1
70,1,2,2,0,0,1
71,1,1,1,2,1,1
72,2,1,2,1,0,1
73,2,1,1,1,0,1
74,1,1,2,-1,0,1
75,1,1,2,-1,0,1
76,1,2,2,0,0,1
77,1,1,2,0,0,1
78,1,1,1,-2,0,1
79,2,1,1,-1,1,1
80,1,1,1,0,0,1
81,2,2,1,-1,0,1
82,1,1,2,1,1,1
83,1,3,2,2,0,1
84,2,3,3,1,0,1
85,2,1,2,-1,0,1
86,1,2,2,2,1,1
87,1,2,2,0,0,1
88,2,2,2,0,0,1
89,1,1,1,-2,1,1
90,1,1,2,0,0,1
91,1,1,2,0,0,1
92,2,2,2,-1,1,1
93,2,1,2,2,0,1
94,2,3,2,0,0,1
95,1,1,2,0,1,1
96,2,2,1,-1,1,1
97,2,3,2,1,0,1
98,2,1,2,1,0,1
99,2,3,1,0,0,1
