,cap-color,odor,gill-attachment,gill-size,gill-color,stalk-shape,veil-type,veil-color,habitat,poisonous,real_identifier
0,y,l,f,b,n,e,p,w,m,e,0
1,w,p,f,n,k,e,p,w,u,p,0
2,y,a,f,b,w,e,p,w,g,e,0
3,g,n,f,n,n,e,p,w,u,e,0
4,y,l,f,b,g,e,p,w,m,e,0
5,w,a,f,b,g,e,p,w,g,e,0
6,y,l,f,n,p,t,p,w,d,e,0
7,w,p,f,n,p,e,p,w,g,p,0
8,y,l,f,b,n,e,p,w,m,e,0
9,w,l,f,b,k,e,p,w,g,e,0
10,y,a,f,b,n,e,p,w,g,e,0
11,g,n,f,n,k,e,p,w,u,e,0
12,w,l,f,b,w,e,p,w,m,e,0
13,w,l,f,b,n,e,p,w,g,e,0
14,y,l,f,b,k,e,p,w,m,e,0
15,y,a,f,b,n,e,p,w,g,e,0
16,w,p,f,n,n,e,p,w,u,p,0
17,w,l,f,b,k,e,p,w,g,e,0
18,g,n,f,n,k,e,p,w,u,e,0
19,y,l,f,b,n,e,p,w,m,e,0
20,w,p,f,n,k,e,p,w,u,p,0
21,y,a,f,b,n,e,p,w,g,e,0
22,w,l,f,b,n,e,p,w,g,e,0
23,y,l,f,b,k,e,p,w,m,e,0
24,g,n,f,n,k,e,p,w,u,e,0
25,w,p,f,n,p,e,p,w,g,p,0
26,y,a,f,b,n,e,p,w,g,e,0
27,n,p,f,n,k,e,p,w,u,p,0
28,w,l,f,b,g,e,p,w,m,e,0
29,y,a,f,b,w,e,p,w,g,e,0
30,n,n,f,b,p,t,p,w,g,e,0
31,g,n,f,b,k,t,p,w,g,e,0
32,y,l,f,b,n,e,p,w,p,e,0
33,n,a,f,b,g,e,p,w,p,e,0
34,y,a,f,n,p,t,p,w,d,e,0
35,n,l,f,b,w,e,p,w,g,e,0
36,w,p,f,n,n,e,p,w,u,p,0
37,y,l,f,n,w,t,p,w,d,e,0
38,n,p,f,n,k,e,p,w,u,p,0
39,y,a,f,b,k,e,p,w,m,e,0
40,n,n,f,b,k,t,p,w,g,e,0
41,g,n,f,n,p,e,p,w,u,e,0
42,y,l,f,b,g,e,p,w,g,e,0
43,w,a,f,b,g,e,p,w,g,e,0
44,n,p,f,n,w,e,p,w,u,p,0
45,y,a,f,n,n,t,p,w,d,e,0
46,n,l,f,b,p,e,p,w,p,e,0
47,g,n,f,b,n,t,p,w,g,e,0
48,y,a,f,b,w,e,p,w,g,e,0
49,n,p,f,n,k,e,p,w,u,p,0
50,y,l,f,n,w,t,p,w,d,e,0
51,n,a,f,b,g,e,p,w,p,e,0
52,y,a,f,b,k,e,p,w,m,e,0
53,n,n,f,b,p,t,p,w,g,e,0
0,w,l,f,b,g,e,p,w,m,e,1
1,n,l,f,b,p,e,p,w,p,e,1
2,y,l,f,n,w,t,p,w,d,e,1
3,y,l,f,b,g,e,p,w,m,e,1
4,y,l,f,n,p,t,p,w,d,e,1
5,w,p,f,n,k,e,p,w,u,p,1
6,y,a,f,b,w,e,p,w,m,e,1
7,y,a,f,b,n,e,p,w,g,e,1
8,g,n,f,n,n,e,p,w,u,e,1
9,y,l,f,b,n,e,p,w,m,e,1
10,y,a,f,b,n,e,p,w,g,e,1
11,g,n,f,n,k,e,p,w,u,e,1
12,w,a,f,b,w,e,p,w,g,e,1
13,w,a,f,b,g,e,p,w,g,e,1
14,y,l,f,b,k,e,p,w,m,e,1
15,y,a,f,b,n,e,p,w,g,e,1
16,w,p,f,n,p,e,p,w,g,p,1
17,y,l,f,b,n,e,p,w,m,e,1
18,w,p,f,n,n,e,p,w,u,p,1
19,w,l,f,b,k,e,p,w,g,e,1
20,w,l,f,b,w,e,p,w,m,e,1
21,w,l,f,b,n,e,p,w,g,e,1
22,w,p,f,n,k,e,p,w,u,p,1
23,g,n,f,n,k,e,p,w,u,e,1
24,w,l,f,b,n,e,p,w,g,e,1
25,g,n,f,n,p,e,p,w,u,e,1
26,y,l,f,b,g,e,p,w,m,e,1
27,w,a,f,b,g,e,p,w,g,e,1
28,y,a,f,b,k,e,p,w,g,e,1
29,y,a,f,b,n,e,p,w,m,e,1
30,w,l,f,b,g,e,p,w,m,e,1
31,n,p,f,n,k,e,p,w,u,p,1
32,y,a,f,b,n,e,p,w,m,e,1
33,n,a,f,b,p,e,p,w,p,e,1
34,w,p,f,n,n,e,p,w,u,p,1
35,y,l,f,b,w,e,p,w,g,e,1
36,g,n,f,b,n,t,p,w,g,e,1
37,y,a,f,b,w,e,p,w,g,e,1
38,y,l,f,b,n,e,p,w,p,e,1
39,n,n,f,b,k,t,p,w,g,e,1
40,n,p,f,n,k,e,p,w,u,p,1
41,n,l,f,b,p,e,p,w,p,e,1
42,g,n,f,b,k,t,p,w,g,e,1
43,y,a,f,n,p,t,p,w,d,e,1
44,n,l,f,b,w,e,p,w,g,e,1
45,n,p,f,n,w,e,p,w,u,p,1
46,y,a,f,b,k,e,p,w,m,e,1
47,n,p,f,n,k,e,p,w,u,p,1
48,y,l,f,n,w,t,p,w,d,e,1
49,y,a,f,n,n,t,p,w,d,e,1
50,g,n,f,b,n,t,p,w,g,e,1
