,cap-color,odor,gill-attachment,habitat,poisonous,real_identifier
0,y,l,f,m,e,0
1,w,p,f,g,p,0
2,g,n,f,u,e,0
3,n,n,f,g,e,0
4,y,a,f,m,e,0
5,w,l,f,p,e,0
6,g,n,f,g,e,0
7,n,p,f,u,p,0
8,y,a,f,g,e,0
9,w,n,f,m,e,0
10,g,n,f,u,e,0
11,n,n,f,g,e,0
12,y,l,f,m,e,0
13,w,p,f,g,p,0
14,g,n,f,g,e,0
15,n,a,f,u,e,0
16,y,a,f,m,e,0
17,w,l,f,p,e,0
18,g,n,f,u,e,0
19,n,n,f,g,e,0
20,y,l,f,m,e,0
21,w,p,f,u,p,0
22,g,n,f,g,e,0
23,n,a,f,m,e,0
24,y,a,f,g,e,0
25,w,n,f,p,e,0
26,y,l,f,m,e,0
27,w,p,f,u,p,0
28,n,a,f,g,e,0
29,y,l,f,d,e,0
30,w,a,f,g,e,0
31,y,l,f,p,e,0
32,n,l,f,g,e,0
33,w,p,f,u,p,0
34,y,a,f,m,e,0
35,g,n,f,u,e,0
36,n,p,f,u,p,0
37,y,l,f,m,e,0
38,w,a,f,g,e,0
39,y,l,f,d,e,0
40,n,l,f,p,e,0
41,y,a,f,g,e,0
42,w,p,f,u,p,0
43,n,n,f,g,e,0
44,y,l,f,m,e,0
45,y,a,f,m,e,0
46,w,a,f,g,e,0
47,n,l,f,g,e,0
48,y,l,f,d,e,0
49,y,l,f,p,e,0
50,w,p,f,u,p,0
51,n,a,f,g,e,0
52,y,a,f,g,e,0
0,g,n,f,g,e,1
1,y,a,f,m,e,1
2,y,l,f,m,e,1
3,n,n,f,u,e,1
4,w,p,f,u,p,1
5,w,a,f,g,e,1
6,n,n,f,g,e,1
7,w,l,f,m,e,1
8,g,n,f,g,e,1
9,n,p,f,g,p,1
10,w,n,f,g,e,1
11,y,l,f,m,e,1
12,y,a,f,g,e,1
13,n,n,f,u,e,1
14,w,p,f,g,p,1
15,g,n,f,u,e,1
16,w,p,f,u,p,1
17,y,a,f,g,e,1
18,n,n,f,g,e,1
19,y,a,f,m,e,1
20,g,n,f,u,e,1
21,y,l,f,p,e,1
22,y,a,f,m,e,1
23,w,p,f,u,p,1
24,y,a,f,m,e,1
25,w,l,f,m,e,1
26,y,l,f,d,e,1
27,y,l,f,m,e,1
28,y,a,f,d,e,1
29,y,a,f,m,e,1
30,w,p,f,u,p,1
31,w,p,f,u,p,1
32,w,a,f,g,e,1
33,y,l,f,p,e,1
34,y,l,f,m,e,1
35,w,l,f,g,e,1
36,n,l,f,g,e,1
37,w,a,f,g,e,1
38,y,l,f,g,e,1
39,n,a,f,g,e,1
40,y,l,f,g,e,1
41,y,a,f,m,e,1
42,n,p,f,u,p,1
43,g,n,f,u,e,1
44,y,l,f,m,e,1
45,y,a,f,g,e,1
46,n,n,f,g,e,1
47,w,a,f,g,e,1
48,n,l,f,p,e,1
49,y,l,f,d,e,1
50,w,l,f,g,e,1
