,cap-color,odor,gill-attachment,gill-size,gill-color,stalk-shape,veil-type,veil-color,habitat,poisonous,real_identifier
0,w,n,a,n,h,t,p,y,p,p,0
1,g,f,f,b,n,e,p,w,u,e,0
2,g,n,a,n,h,t,p,y,d,p,0
3,e,f,f,b,g,e,p,w,p,e,0
4,y,f,a,b,h,t,p,y,p,e,0
5,e,a,f,n,g,e,p,w,u,p,0
6,e,a,a,n,g,e,p,y,p,p,0
7,g,f,f,b,h,t,p,w,u,e,0
8,g,a,a,b,h,t,p,y,p,e,0
9,e,f,f,n,g,e,p,w,u,p,0
10,g,p,a,n,h,t,p,y,p,p,0
11,n,f,f,b,w,e,p,w,u,e,0
12,g,p,f,n,h,t,p,y,p,p,0
13,e,a,a,b,w,e,p,w,d,e,0
14,g,a,a,n,n,t,p,y,g,p,0
15,e,p,f,b,h,e,p,w,d,e,0
16,g,a,a,b,h,t,p,y,p,p,0
17,e,f,f,n,p,e,p,w,m,e,0
18,y,f,a,b,h,t,p,y,g,e,0
19,e,a,f,n,p,e,p,w,p,p,0
20,e,f,a,b,h,t,p,y,p,p,0
21,b,a,f,n,k,e,p,w,m,e,0
22,n,p,a,n,h,t,p,y,d,p,0
23,g,f,f,b,g,e,p,w,u,e,0
24,g,p,a,n,h,t,p,y,g,p,0
25,e,f,f,b,n,e,p,w,p,e,0
26,n,p,a,b,w,t,p,y,g,p,0
27,g,n,f,n,h,e,p,w,p,e,0
28,n,n,a,n,p,t,p,y,p,p,0
29,g,f,f,b,h,e,p,w,d,e,0
30,g,f,a,n,h,t,p,y,d,p,0
31,n,c,f,b,g,e,p,w,g,e,0
32,y,n,a,n,g,t,p,y,p,p,0
33,e,l,f,b,h,e,p,w,d,e,0
34,y,f,a,n,p,t,p,y,d,p,0
35,e,a,f,b,g,e,p,w,p,e,0
36,e,f,a,n,h,t,p,y,p,p,0
37,n,l,f,b,g,t,p,w,d,e,0
38,w,l,a,n,h,t,p,y,d,p,0
39,e,f,f,b,g,e,p,w,u,e,0
40,e,l,a,n,h,t,p,y,p,e,0
41,b,f,f,b,g,e,p,w,u,p,0
42,e,l,a,b,h,t,p,y,p,e,0
43,g,f,f,n,p,e,p,w,u,p,0
44,w,f,a,b,h,t,p,y,g,p,0
45,b,a,f,n,w,e,p,w,m,e,0
46,g,l,a,b,h,t,p,y,g,p,0
47,e,c,f,n,r,e,p,w,p,e,0
48,y,l,a,n,p,t,p,y,p,p,0
49,e,f,f,b,h,e,p,w,u,e,0
50,y,a,f,n,p,t,p,w,d,e,1
51,n,l,f,b,p,e,p,w,g,e,1
52,w,l,f,b,k,e,p,w,m,e,1
53,y,a,f,b,w,e,p,w,g,e,1
54,n,p,f,n,n,e,p,w,g,p,1
55,w,p,f,n,p,e,p,w,g,p,1
56,y,l,f,n,w,t,p,w,d,e,1
57,n,n,f,b,n,t,p,w,g,e,1
58,y,l,f,n,p,t,p,w,d,e,1
59,n,p,f,n,n,e,p,w,g,p,1
60,y,l,f,b,k,e,p,w,g,e,1
61,w,a,f,b,g,e,p,w,g,e,1
62,w,l,f,b,n,e,p,w,g,e,1
63,y,l,f,b,g,e,p,w,m,e,1
64,n,l,f,b,p,e,p,w,p,e,1
65,w,l,f,b,w,e,p,w,m,e,1
66,n,n,f,n,n,e,p,w,u,e,1
67,y,l,f,b,w,e,p,w,g,e,1
68,n,p,f,n,k,e,p,w,u,p,1
69,w,l,f,n,n,t,p,w,d,e,1
70,n,n,f,n,n,e,p,w,u,e,1
71,y,l,f,b,g,e,p,w,g,e,1
72,y,l,f,b,w,e,p,w,p,e,1
73,y,a,f,b,k,e,p,w,g,e,1
74,w,l,f,b,g,e,p,w,m,e,1
75,y,a,f,b,k,e,p,w,m,e,1
76,y,l,f,n,p,t,p,w,d,e,1
77,y,a,f,b,n,e,p,w,m,e,1
78,y,a,f,b,w,e,p,w,g,e,1
79,w,l,f,b,g,e,p,w,m,e,1
80,y,a,f,b,w,e,p,w,m,e,1
81,y,l,f,b,n,e,p,w,p,e,1
82,n,a,f,b,w,e,p,w,g,e,1
83,w,p,f,n,k,e,p,w,u,p,1
84,g,n,f,n,k,e,p,w,u,e,1
85,n,n,f,b,k,t,p,w,g,e,1
86,g,n,f,b,n,t,p,w,g,e,1
87,y,a,f,b,k,e,p,w,g,e,1
88,y,a,f,b,n,e,p,w,g,e,1
89,n,a,f,b,p,e,p,w,p,e,1
90,w,p,f,n,p,e,p,w,g,p,1
91,y,a,f,b,n,e,p,w,g,e,1
92,w,p,f,n,n,e,p,w,g,p,1
93,y,a,f,b,g,e,p,w,g,e,1
94,y,l,f,b,n,e,p,w,p,e,1
95,g,n,f,n,p,e,p,w,u,e,1
96,y,a,f,b,n,e,p,w,m,e,1
97,w,p,f,n,k,e,p,w,u,p,1
98,w,a,f,b,w,e,p,w,m,e,1
99,w,a,f,b,g,e,p,w,g,e,1
