,cap-color,poisonous,real_identifier
0,g,e,0
1,n,e,0
2,y,e,0
3,w,e,0
4,g,e,0
5,n,p,0
6,w,e,0
7,y,e,0
8,g,e,0
9,n,e,0
10,w,p,0
11,y,e,0
12,n,e,0
13,g,e,0
14,w,e,0
15,y,e,0
16,n,p,0
17,g,e,0
18,w,e,0
19,y,e,0
20,n,e,0
21,g,e,0
22,w,p,0
23,y,e,0
24,n,e,0
25,n,e,0
26,y,e,0
27,w,p,0
28,n,e,0
29,y,e,0
30,w,e,0
31,n,p,0
32,y,e,0
33,w,p,0
34,n,e,0
35,y,e,0
36,w,e,0
37,n,p,0
38,y,e,0
39,w,p,0
40,n,e,0
41,y,e,0
42,w,e,0
43,n,p,0
44,y,e,0
45,w,p,0
46,n,e,0
47,y,e,0
48,w,e,0
49,n,p,0
50,w,e,1
51,g,e,1
52,w,e,1
53,n,e,1
54,g,e,1
55,n,e,1
56,y,e,1
57,y,e,1
58,w,p,1
59,w,e,1
60,w,e,1
61,n,e,1
62,n,p,1
63,w,e,1
64,w,e,1
65,n,e,1
66,y,e,1
67,y,e,1
68,n,e,1
69,g,e,1
70,y,e,1
71,g,e,1
72,y,e,1
73,w,p,1
74,w,e,1
75,w,e,1
76,n,e,1
77,y,e,1
78,y,e,1
79,w,e,1
80,n,e,1
81,y,e,1
82,y,e,1
83,y,e,1
84,w,p,1
85,w,p,1
86,n,p,1
87,y,e,1
88,n,e,1
89,w,p,1
90,y,e,1
91,n,e,1
92,y,e,1
93,w,p,1
94,y,e,1
95,w,e,1
96,y,e,1
97,w,e,1
98,y,e,1
99,w,e,1
