,cap-color,odor,gill-attachment,habitat,poisonous,real_identifier
0,y,l,f,d,e,0
1,n,a,f,p,e,0
2,w,l,f,m,e,0
3,y,a,f,g,e,0
4,w,l,f,d,e,0
5,n,n,f,g,e,0
6,y,l,f,m,e,0
7,w,p,f,u,p,0
8,y,a,f,m,e,0
9,g,n,f,u,e,0
10,w,l,f,g,e,0
11,n,l,f,p,e,0
12,y,a,f,g,e,0
13,w,l,f,m,e,0
14,y,l,f,d,e,0
15,n,n,f,g,e,0
16,w,l,f,m,e,0
17,y,a,f,m,e,0
18,g,n,f,u,e,0
19,w,p,f,u,p,0
20,y,l,f,g,e,0
21,n,l,f,p,e,0
22,w,l,f,d,e,0
23,y,a,f,g,e,0
24,w,n,f,g,e,0
25,n,n,f,u,e,0
26,w,l,f,m,e,0
27,y,a,f,p,e,0
28,n,n,f,g,e,0
29,y,l,f,d,e,0
30,w,p,f,u,p,0
31,n,p,f,g,p,0
32,g,n,f,m,e,0
33,y,l,f,p,e,0
34,w,a,f,g,e,0
35,n,n,f,u,e,0
36,y,l,f,m,e,0
37,w,p,f,g,p,0
38,n,l,f,g,e,0
39,y,a,f,p,e,0
40,g,n,f,m,e,0
41,w,l,f,d,e,0
42,n,p,f,u,p,0
43,y,l,f,m,e,0
44,w,a,f,g,e,0
45,n,n,f,g,e,0
46,y,l,f,p,e,0
47,g,n,f,m,e,0
48,w,p,f,g,p,0
49,n,l,f,g,e,0
50,y,a,f,p,e,0
51,n,n,f,u,e,0
50,y,l,f,d,e,1
51,w,l,f,m,e,1
52,n,a,f,p,e,1
53,w,l,f,d,e,1
54,y,a,f,g,e,1
55,y,l,f,m,e,1
56,n,n,f,g,e,1
57,w,l,f,m,e,1
58,y,a,f,d,e,1
59,g,n,f,u,e,1
60,w,l,f,m,e,1
61,w,p,f,u,p,1
62,y,a,f,m,e,1
63,y,l,f,p,e,1
64,w,l,f,g,e,1
65,n,l,f,p,e,1
66,y,a,f,g,e,1
67,w,l,f,g,e,1
68,y,l,f,m,e,1
69,w,n,f,g,e,1
70,y,a,f,g,e,1
71,w,l,f,g,e,1
72,n,n,f,g,e,1
73,y,a,f,m,e,1
74,n,n,f,u,e,1
75,y,l,f,m,e,1
76,y,l,f,p,e,1
77,w,a,f,g,e,1
78,n,p,f,u,p,1
79,w,p,f,g,p,1
80,n,p,f,g,p,1
81,g,n,f,g,e,1
82,w,l,f,m,e,1
83,y,a,f,m,e,1
84,n,n,f,g,e,1
85,n,n,f,u,e,1
86,y,l,f,m,e,1
87,w,a,f,g,e,1
88,y,l,f,m,e,1
89,w,a,f,g,e,1
90,n,n,f,g,e,1
91,n,p,f,u,p,1
92,w,l,f,g,e,1
93,y,l,f,m,e,1
94,y,l,f,d,e,1
95,n,l,f,g,e,1
96,y,l,f,d,e,1
97,n,p,f,g,p,1
98,y,l,f,m,e,1
99,y,l,f,g,e,1
